number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
7.76653137022103e+37,6.467823541070373e+32,1.1746188138326622e+35
8.094466397284438e+37,7.403114041252715e+32,1.2245006418345586e+35
8.436248195428622e+37,8.512944728943322e+32,1.2765508218809513e+35
8.79246143251013e+37,9.738384017801474e+32,1.3308286723496328e+35
9.163715463476873e+37,1.1145559646112317e+33,1.3874584316798004e+35
9.550645372759031e+37,1.2774209221766696e+33,1.4465549919935838e+35
9.953913060674088e+37,1.4571486042581184e+33,1.5081910324172505e+35
1.0374208375704288e+38,1.6693203371012418e+33,1.5725488857322872e+35
1.0812250294583609e+38,1.9053151172721564e+33,1.6396920062164384e+35
1.12687881522128e+38,2.176281344072322e+33,1.709789680062021e+35
1.1744602923506588e+38,2.483262128590291e+33,1.7829636058188572e+35
1.2240508559365693e+38,2.832000435984685e+33,1.8593651848985467e+35
1.2757353379059147e+38,3.228315330548515e+33,1.9391508054444264e+35
1.3296021521398762e+38,3.678649058823838e+33,2.0224862529674397e+35
1.3857434457188076e+38,4.187026302036967e+33,2.1095292406019727e+35
1.4442552565533279e+38,4.768567195063678e+33,2.2005036032151702e+35
1.5052376776712394e+38,5.419544316848638e+33,2.295537123206584e+35
1.5687950284413212e+38,6.166168928713388e+33,2.394927174938451e+35
1.6350360330268995e+38,7.006766858169809e+33,2.498826241024412e+35
1.704074006374462e+38,7.952176717936359e+33,2.607460329490074e+35
1.7760270480554816e+38,9.02928476116824e+33,2.721157493990572e+35
1.8510182442930437e+38,1.0242515330336924e+34,2.8401254514843747e+35
1.929175878518865e+38,1.160740154351478e+34,2.9646424631949925e+35
2.0106336508209107e+38,1.3143135144843412e+34,3.0950182568579736e+35
2.095530906656987e+38,1.4872726653766956e+34,3.2315981898256584e+35
2.1840128752255644e+38,1.6819669766834604e+34,3.3747442884212856e+35
2.2762309179016155e+38,1.9002826776148276e+34,3.524796721299244e+35
2.372342787162422e+38,2.144829935954131e+34,3.6821554997367435e+35
2.4725128964463107e+38,2.4184151223065376e+34,3.847247421795764e+35
2.5769126014059367e+38,2.7240523404390565e+34,4.020527852200056e+35
2.6857204930372374e+38,3.064977383921333e+34,4.202482653463122e+35
2.7991227031855048e+38,3.4446643477457507e+34,4.3936302799037405e+35
2.917313222951194e+38,3.867409534350986e+34,4.5945860831894346e+35
3.0404942345401176e+38,4.336754001732113e+34,4.805900158060026e+35
3.1688764571257563e+38,4.856950733512533e+34,5.0282007129817894e+35
3.3026795073152717e+38,5.432672409279492e+34,5.2621712360761525e+35
3.4421322748359135e+38,6.0695612621864745e+34,5.508650100703838e+35
3.5874733140844334e+38,6.7721883494753205e+34,5.768299829526908e+35
3.738951252209348e+38,7.546835104663328e+34,6.042072943992776e+35
3.89682521442411e+38,8.39927968706954e+34,6.3307831512640415e+35
4.0613652672787705e+38,9.336498299265195e+34,6.6355254302546996e+35
4.232852880648388e+38,1.0365284683918132e+35,6.957244970469034e+35
4.4115814092284966e+38,1.1493352969733116e+35,7.297084376849047e+35
4.597856594361318e+38,1.2728904421939498e+35,7.656266155687822e+35
4.791997087051125e+38,1.4080706793794629e+35,8.036090473142122e+35
4.9943349930634936e+38,1.555827235178917e+35,8.437910577492687e+35
5.2052164410408806e+38,1.7165339130987326e+35,8.863216520086502e+35
5.4250021746064e+38,1.881399107320303e+35,9.313366943273431e+35
5.6540681694686575e+38,2.0594903719708692e+35,9.78973949162447e+35
5.892806276583303e+38,2.2538482966865684e+35,1.0294065447081229e+36
6.1416248924715144e+38,2.4664587523230527e+35,1.0828290213625849e+36
6.4009496578421114e+38,2.699117236233295e+35,1.1394438883770998e+36
6.671224185712364e+38,2.9537888387861245e+35,1.1994797143839763e+36
6.952910820273063e+38,3.23246732014372e+35,1.2631744356078395e+36
7.246491427796037e+38,3.53737167471729e+35,1.330789200467741e+36
7.55246822093702e+38,3.87092906301112e+35,1.402605560464774e+36
7.871364617844002e+38,4.235813469544768e+35,1.47892713853984e+36
8.203726137540685e+38,4.634992041211163e+35,1.5600821040042438e+36
8.550121333116733e+38,5.071822292385849e+35,1.646429344609724e+36
8.911142764321133e+38,5.549974807176683e+35,1.7383499332492178e+36
9.287408011222518e+38,6.073697181976455e+35,1.8362657924241423e+36
9.679560730670364e+38,6.647758171760809e+35,1.9406314322089637e+36
1.008827175736438e+39,7.277595671477242e+35,2.051941875147138e+36
1.0514240251415563e+39,7.96951694647796e+35,2.170740087912428e+36
1.095819489436205e+39,8.73082812119272e+35,2.2976194800747657e+36
1.1420895135685671e+39,9.570023257749933e+35,2.4332292712205387e+36
