number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
9.613972631033958e+37,7.134683678341534e+32,1.4608937392396183e+35
1.0820161799678544e+38,9.271697137144884e+32,1.6451881165075156e+35
1.2177681991032623e+38,1.2727412916486732e+33,1.852983777067846e+35
1.3705519512575688e+38,1.769289137050204e+33,2.087325500100592e+35
1.5425042733741531e+38,2.537712243809291e+33,2.3518938212745022e+35
1.7360300944406717e+38,3.684939831104986e+33,2.650868803953941e+35
1.9538360708791725e+38,5.303008154326405e+33,2.9887797387147937e+35
2.198968441902793e+38,7.8804107975328e+33,3.372237078900429e+35
2.474855634284903e+38,1.1605270456770695e+34,3.807319884814674e+35
2.7853562124119307e+38,1.7078488573028837e+34,4.3023902552956325e+35
3.1348128442503813e+38,2.558313359333673e+34,4.869147172322641e+35
3.528113037997248e+38,3.7536123818482297e+34,5.516881659789228e+35
3.9707574988779664e+38,5.5782093718507415e+34,6.266587646676071e+35
4.468937062131599e+38,8.212106453689945e+34,7.13796637047598e+35
5.02961927816967e+38,1.18342112475226e+35,8.157806503382296e+35
5.6606458608906336e+38,1.641080895588911e+35,9.356988102270857e+35
6.3708423620642345e+38,2.1845558955997096e+35,1.0769312364598716e+36
7.17014160569413e+38,2.831699707667536e+35,1.2432993389708652e+36
8.069722608714521e+38,3.672910625413362e+35,1.4396838971573728e+36
9.08216693096874e+38,4.883277796793459e+35,1.673595320174526e+36
1.0221634641184007e+39,6.4366050493011605e+35,1.9539141258589168e+36
1.1504062360006466e+39,8.410977599687168e+35,2.2914845969941116e+36
