number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
8.888407794227578e+37,6.0762819830429016e+32,1.3501410296152883e+35
9.999081506717791e+37,7.786895200345805e+32,1.5197103468616312e+35
1.1248542291558338e+38,1.021635610703711e+33,1.7107130018213932e+35
1.2654132642080047e+38,1.4113726167252494e+33,1.9259954418201353e+35
1.4235362127190996e+38,1.993079595423145e+33,2.1687839653395527e+35
1.601417818384378e+38,2.829007154714843e+33,2.442676893427572e+35
1.8015270747067605e+38,4.1433661999731366e+33,2.7523538921566827e+35
2.02664149458246e+38,6.024004057080072e+33,3.102470957616616e+35
2.2798856621302667e+38,8.82478699105415e+33,3.4992298109936245e+35
2.5647746018632003e+38,1.309814928471892e+34,3.9502901170332544e+35
2.8852625671658263e+38,1.916768029580863e+34,4.4630418809809016e+35
3.245797925260475e+38,2.867969501899334e+34,5.0507862218938555e+35
3.651384900464659e+38,4.219874581845939e+34,5.723569273171547e+35
4.1076530327350494e+38,6.3072103443309025e+34,6.503254684107992e+35
4.620935315581296e+38,9.520070706905152e+34,7.412926455460103e+35
5.1983560979026136e+38,1.4375498467531354e+35,8.486091165664754e+35
5.8479299698229876e+38,2.0907839114051636e+35,9.764639572404072e+35
6.5786730050586354e+38,2.8579946076850226e+35,1.1292030271850722e+36
7.400727903859844e+38,3.737781152424802e+35,1.3112566999800105e+36
8.32550477350888e+38,4.861474118590055e+35,1.5283494513552378e+36
9.365839500404887e+38,6.37641191626198e+35,1.7889289577754034e+36
1.0536171911937331e+39,8.303407492152375e+35,2.1034664057231897e+36
