number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
9.40719120339497e+37,6.796129597466193e+32,1.4293220358282466e+35
1.0579022462482083e+38,8.822325331640064e+32,1.6083263244443135e+35
1.189682593262388e+38,1.1941554472543092e+33,1.809963306022026e+35
1.3378785022254763e+38,1.63705175462711e+33,2.03712141904589e+35
1.5045348203412036e+38,2.3575529671911015e+33,2.2934219160132292e+35
1.6919511165279513e+38,3.389496684916061e+33,2.582630396583669e+35
1.9027134114921766e+38,4.897244429407569e+33,2.9093488428507397e+35
2.139729860341027e+38,7.218494750792836e+33,3.2793977319796196e+35
2.4062708800924725e+38,1.0517087546290287e+34,3.698489494525251e+35
2.706014275773194e+38,1.5594731183582167e+34,4.1755164540976045e+35
3.0430959877663142e+38,2.3137233714230053e+34,4.719520105295809e+35
3.4221671606346006e+38,3.3908739627516713e+34,5.340735056476353e+35
3.848458320870163e+38,5.048056328600666e+34,6.057429633621025e+35
4.32785154911262e+38,7.592852118975582e+34,6.889045681317355e+35
4.8669616426874685e+38,1.1716827089115338e+35,7.864784201281028e+35
5.4732273883673175e+38,1.8470666937720274e+35,9.02856086367863e+35
6.155014204762195e+38,2.7825992640068407e+35,1.043858231437116e+36
6.921729570626404e+38,3.8265134360146384e+35,1.2148506655218512e+36
7.783952831792865e+38,4.986567679760651e+35,1.4207390052936445e+36
8.753581177846115e+38,6.476734921699272e+35,1.668486649507048e+36
9.843993802759568e+38,8.396830448462916e+35,1.968273094559445e+36
