number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
9.564641687392172e+37,7.053177222561777e+32,1.4533612159594462e+35
1.0749962426744018e+38,9.13973624098256e+32,1.634456154998448e+35
1.2082176829346168e+38,1.2457573287713038e+33,1.8383531481297525e+35
1.3579489038251828e+38,1.7177604171335172e+33,2.067957842466129e+35
1.5262359187800478e+38,2.459794037880518e+33,2.326837428164869e+35
1.7153782982649364e+38,3.5452097484491446e+33,2.6188918393651526e+35
1.9279605924294633e+38,5.093986617431366e+33,2.948560779546279e+35
2.166887647885401e+38,7.518858122769177e+33,3.321946006733278e+35
2.4354243011998227e+38,1.0974303410142423e+34,3.744727063965069e+35
2.7372399914978577e+38,1.6171698080893103e+34,4.225418531262909e+35
3.0764589017872507e+38,2.40151139395479e+34,4.773898432486755e+35
3.45771631416464e+38,3.5048890923399186e+34,5.3995289424338544e+35
3.886221948973426e+38,5.215772938467517e+34,6.12189781077637e+35
4.3678311534159306e+38,7.837319883449567e+34,6.959784757400975e+35
4.9091249123818846e+38,1.2174301469061691e+35,7.943230830737988e+35
5.5174997748072445e+38,1.9920619342177705e+35,9.120708057391911e+35
6.201268924368698e+38,3.195640638114091e+35,1.0568031778752614e+36
6.969775775601978e+38,4.506496009159027e+35,1.2353346948514667e+36
7.833521647686563e+38,5.892992539952209e+35,1.4525060091756153e+36
8.804309260504725e+38,7.61256047558467e+35,1.715587051757963e+36
9.895404013787548e+38,9.794486248916542e+35,2.0352569994957713e+36
