number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
7.859746536328902e+37,6.75877308703932e+32,1.1887557423395452e+35
8.168457098734074e+37,7.682891602496199e+32,1.2357300799051314e+35
8.489293015423892e+37,8.7430922252692e+32,1.2845950624037416e+35
8.822730539026008e+37,9.905683699129416e+32,1.3354056628819798e+35
9.169264628142342e+37,1.123657274583202e+33,1.3882693171631848e+35
9.529409682071496e+37,1.2759671973020452e+33,1.4432750491598017e+35
9.903700304389152e+37,1.442924058967573e+33,1.500479558655466e+35
1.0292692096519928e+38,1.636666441668435e+33,1.5600287534503114e+35
1.0696962482478718e+38,1.8528599207138952e+33,1.6219861557293456e+35
1.1117111566005708e+38,2.094202362039477e+33,1.686455558648072e+35
1.1553763021367478e+38,2.3710744383352212e+33,1.753584499606035e+35
1.2007565019146453e+38,2.674716045322189e+33,1.8234229666732504e+35
1.247919118839297e+38,3.026663272587671e+33,1.8961862114335967e+35
1.2969341616568208e+38,3.412209466834107e+33,1.971899031947957e+35
1.3478743888762297e+38,3.855450854038553e+33,2.0507999659508448e+35
1.4008154167730224e+38,4.3426986871222384e+33,2.1329260456779182e+35
1.455835831634876e+38,4.901083976902565e+33,2.2185431489387452e+35
1.5130173064160618e+38,5.518539465312939e+33,2.3077049587411764e+35
1.5724447219737423e+38,6.216547211053008e+33,2.4006569454439876e+35
1.6342062930661219e+38,6.996969181489864e+33,2.4975406232848548e+35
1.6983936992994725e+38,7.865310389536936e+33,2.598520482372569e+35
1.7651022212184288e+38,8.847602916873624e+33,2.703891193499146e+35
1.8344308817415545e+38,9.939963022423112e+33,2.813774361365381e+35
1.906482593152131e+38,1.1156243925226615e+34,2.9284017601672216e+35
1.9813643098623704e+38,1.252013782471667e+34,3.04807841531128e+35
2.0591871871778058e+38,1.4040006956017505e+34,3.1730196372437244e+35
2.1400667462975457e+38,1.572999716570641e+34,3.303482384546588e+35
2.2241230457953023e+38,1.7608532743310695e+34,3.439760680431743e+35
2.3114808598357627e+38,1.9695237730171008e+34,3.5821665799354475e+35
2.4022698633908298e+38,2.201086307006815e+34,3.731030409282171e+35
2.4966248247306855e+38,2.4578804150002926e+34,3.886714816724157e+35
2.5946858054754047e+38,2.742062976238135e+34,4.049576502010746e+35
2.6965983685040793e+38,3.0560516995830985e+34,4.220002165359736e+35
2.8025137940300778e+38,3.4025885258095283e+34,4.398419244154905e+35
2.912589304163178e+38,3.7846218667217818e+34,4.585289412371423e+35
3.0269882962919335e+38,4.205016106651001e+34,4.7810727384233434e+35
3.1458805856326813e+38,4.6669376994735e+34,4.986269998906472e+35
3.2694426573052603e+38,5.173760870259714e+34,5.201413271518838e+35
3.3978579283096087e+38,5.729078568301143e+34,5.4270671343108806e+35
3.531317019792128e+38,6.337055365806925e+34,5.663928237294752e+35
3.670018040005963e+38,7.001363248884629e+34,5.912556920450485e+35
3.814166878385242e+38,7.72636875162893e+34,6.173665168851525e+35
3.963977511169776e+38,8.516655115141972e+34,6.448031936309522e+35
4.1196723190339276e+38,9.376946698434471e+34,6.736387398573188e+35
4.2814824171911146e+38,1.0312324747174183e+35,7.039603312770429e+35
4.4496479984639516e+38,1.1328070124043003e+35,7.358570124753601e+35
4.624418689829333e+38,1.2429963334911306e+35,7.694200200188987e+35
4.806053922967651e+38,1.36239828721919e+35,8.047513634880633e+35
4.994823319366269e+38,1.491634524195626e+35,8.419597790778863e+35
5.191007090548825e+38,1.6313794713510296e+35,8.811579636548408e+35
5.394896454024539e+38,1.7823558986968666e+35,9.224656394749574e+35
5.606794065574935e+38,1.9407064839944608e+35,9.659909523295942e+35
5.8270144685196405e+38,1.9540659466785325e+35,1.0111344326067553e+36
6.0558845606282304e+38,1.956979413059572e+35,1.0586010032013392e+36
6.293744079371128e+38,2.026298664331125e+35,1.1082907113167056e+36
6.5409461062299205e+38,2.242167792484254e+35,1.1601990872746038e+36
6.7978575908156936e+38,2.4791922896894008e+35,1.2150270469662372e+36
7.064859895573371e+38,2.7386681015363777e+35,1.2729896310741704e+36
7.342349361880624e+38,3.0225193287926823e+35,1.334291672095106e+36
7.630737898381715e+38,3.332896417031973e+35,1.3991666908545335e+36
7.93045359242955e+38,3.672119843628211e+35,1.4678649110180557e+36
8.241941345543603e+38,4.0426945569951655e+35,1.540654582882486e+36
8.565663533826993e+38,4.44732509215892e+35,1.6178236005247732e+36
8.902100694323049e+38,4.888933101730693e+35,1.6996815051882175e+36
9.25175223833016e+38,5.370719558707519e+35,1.7865725340197074e+36
9.61513719273382e+38,5.896059419226229e+35,1.8788476482702793e+36
9.992794970456271e+38,6.468666567507208e+35,1.9769024279183576e+36
1.0385286171167435e+39,7.092525038396167e+35,2.0811578225889236e+36
1.0793193413445663e+39,7.771919821640675e+35,2.1920638603738143e+36
1.1217122199623655e+39,8.511489351829301e+35,2.310111988829475e+36
1.1657701814603296e+39,9.316218514518354e+35,2.4358272897316473e+36
