number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
8.36516291094713e+37,6.910040742232364e+32,1.2707862238742263e+35
9.40719120339497e+37,9.039363844711766e+32,1.4300664430046982e+35
1.0579022462482083e+38,1.2209201380291924e+33,1.6095162491208014e+35
1.189682593262388e+38,1.6919930832915437e+33,1.8117933036453983e+35
1.3378785022254763e+38,2.3887135122278167e+33,2.03999552583172e+35
1.5045348203412036e+38,3.408902026553121e+33,2.2976701380616498e+35
1.6919511165279513e+38,4.8831859992060754e+33,2.58897449177938e+35
1.9027134114921766e+38,6.980920454758535e+33,2.9187692801593917e+35
2.139729860341027e+38,9.913304508591992e+33,3.2927395048199885e+35
2.4062708800924725e+38,1.3927835087393038e+34,3.717586726138611e+35
2.706014275773194e+38,1.965955965207023e+34,4.201281381284442e+35
3.0430959877663142e+38,2.863781082677107e+34,4.754098890082297e+35
3.4221671606346006e+38,4.416268136727303e+34,5.390510365763718e+35
3.848458320870163e+38,7.341747350035606e+34,6.1329751206617614e+35
4.32785154911262e+38,1.1588380152735922e+35,7.013900125266302e+35
4.8669616426874685e+38,1.586910036942517e+35,8.058083402482139e+35
5.4732273883673175e+38,2.0645294044536072e+35,9.287498264059392e+35
6.155014204762195e+38,2.7456123515413288e+35,1.0740989612415072e+36
6.921729570626404e+38,3.641585150545065e+35,1.2473303204218829e+36
7.783952831792865e+38,4.798755863111695e+35,1.4548357796980488e+36
8.753581177846115e+38,6.280664220158855e+35,1.7045097612882824e+36
9.843993802759568e+38,8.167642935720142e+35,2.0061276035631455e+36
