number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
8.888407794227578e+37,6.0762819830429016e+32,1.3501410296152883e+35
9.999081506717791e+37,7.786895200345805e+32,1.5197103468616312e+35
1.1248542291558338e+38,1.021635610703711e+33,1.7107130018213932e+35
1.2654132642080047e+38,1.4113726167252494e+33,1.9259954418201353e+35
1.4235362127190996e+38,1.993079595423145e+33,2.1687839653395527e+35
1.601417818384378e+38,2.829007154714843e+33,2.442676893427572e+35
1.8015270747067605e+38,4.1433661999731366e+33,2.7523538921566827e+35
2.02664149458246e+38,6.024004057080072e+33,3.102470957616616e+35
2.2798856621302667e+38,8.82478699105415e+33,3.4992298109936245e+35
2.5647746018632003e+38,1.3034133525688086e+34,3.950103731248144e+35
2.8852625671658263e+38,1.9426857191991297e+34,4.463548695830144e+35
3.245797925260475e+38,2.9710217112857216e+34,5.051301704242741e+35
3.651384900464659e+38,4.808892181102468e+34,5.7296623745278115e+35
4.1076530327350494e+38,8.211622994263302e+34,6.524702012299406e+35
4.620935315581296e+38,1.2540381726679183e+35,7.469048895906507e+35
5.1983560979026136e+38,1.6936541479082676e+35,8.58566216189137e+35
5.8479299698229876e+38,2.249125484495019e+35,9.902012760913676e+35
6.5786730050586354e+38,3.0041180486885737e+35,1.1464557650759732e+36
7.400727903859844e+38,3.986068241866499e+35,1.3330020219394933e+36
8.32550477350888e+38,5.249854889638281e+35,1.556792150092103e+36
9.365839500404887e+38,6.864542743664343e+35,1.826413298048127e+36
1.0536171911937331e+39,8.917584064841465e+35,2.1524772340058825e+36
