number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
8.36516291094713e+37,6.910040742232364e+32,1.2707862238742263e+35
9.40719120339497e+37,9.039363844711766e+32,1.4300664430046982e+35
1.0579022462482083e+38,1.2209201380291924e+33,1.6095162491208014e+35
1.189682593262388e+38,1.6919930832915437e+33,1.8117933036453983e+35
1.3378785022254763e+38,2.3887135122278167e+33,2.03999552583172e+35
1.5045348203412036e+38,3.408902026553121e+33,2.2976701380616498e+35
1.6919511165279513e+38,4.8831859992060754e+33,2.58897449177938e+35
1.9027134114921766e+38,6.980920454758535e+33,2.9187692801593917e+35
2.139729860341027e+38,9.913304508591992e+33,3.2927395048199885e+35
2.4062708800924725e+38,1.392802417300588e+34,3.717585988117968e+35
2.706014275773194e+38,1.964637613074368e+34,4.201309355264757e+35
3.0430959877663142e+38,2.852890582389505e+34,4.754071588921819e+35
3.4221671606346006e+38,4.376760341006591e+34,5.390084932081438e+35
3.848458320870163e+38,7.411628854395529e+34,6.132256854843557e+35
4.32785154911262e+38,1.2426458684435704e+35,7.018182932441752e+35
4.8669616426874685e+38,1.7340388435902717e+35,8.077535415083681e+35
5.4732273883673175e+38,2.257417824186415e+35,9.330543104011692e+35
6.155014204762195e+38,2.9865041758461913e+35,1.0816326404663997e+36
6.921729570626404e+38,3.941783256453748e+35,1.2591498953311212e+36
7.783952831792865e+38,5.17299588941044e+35,1.4723016373123438e+36
8.753581177846115e+38,6.747729085528587e+35,1.7293545106352998e+36
9.843993802759568e+38,8.751324935670482e+35,2.0405786674928005e+36
