number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
9.40719120339497e+37,6.796129597466193e+32,1.4293220358282466e+35
1.0579022462482083e+38,8.822325331640064e+32,1.6083263244443135e+35
1.189682593262388e+38,1.1941554472543092e+33,1.809963306022026e+35
1.3378785022254763e+38,1.63705175462711e+33,2.03712141904589e+35
1.5045348203412036e+38,2.3575529671911015e+33,2.2934219160132292e+35
1.6919511165279513e+38,3.389496684916061e+33,2.582630396583669e+35
1.9027134114921766e+38,4.897244429407569e+33,2.9093488428507397e+35
2.139729860341027e+38,7.218494750792836e+33,3.2793977319796196e+35
2.4062708800924725e+38,1.0496078345026985e+34,3.698459231246588e+35
2.706014275773194e+38,1.5597749101438448e+34,4.175488408494269e+35
3.0430959877663142e+38,2.3357964926982216e+34,4.719342591432835e+35
3.4221671606346006e+38,3.636904242063526e+34,5.343472928238417e+35
3.848458320870163e+38,6.168507729086035e+34,6.067848327282229e+35
4.32785154911262e+38,1.0920289079196133e+35,6.927771277780692e+35
4.8669616426874685e+38,1.5922845341081528e+35,7.957842094861206e+35
5.4732273883673175e+38,2.1035984441425502e+35,9.177785901586593e+35
6.155014204762195e+38,2.793319507262186e+35,1.0623142326016597e+36
6.921729570626404e+38,3.697462634379667e+35,1.2347167091584967e+36
7.783952831792865e+38,4.8640089033485534e+35,1.4414037518295558e+36
8.753581177846115e+38,6.3569789371517674e+35,1.6902803185694498e+36
9.843993802759568e+38,8.257142887252178e+35,1.991158519631223e+36
