number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
7.837386955276184e+37,6.036019647756708e+32,1.190201960813129e+35
8.810389845352637e+37,7.746667854004013e+32,1.338812242692177e+35
9.904189964084462e+37,1.0277340466125158e+33,1.5061292167693696e+35
1.1133784153310094e+38,1.4033304538403046e+33,1.6946004072792018e+35
1.2516031096133956e+38,1.9604252415025203e+33,1.9070417822176346e+35
1.406988246245276e+38,2.780020275459325e+33,2.146707679221373e+35
1.581664275094232e+38,3.9719592252621647e+33,2.4173453401059253e+35
1.7780261390138542e+38,5.682327959619965e+33,2.72336527581781e+35
1.9987661103543387e+38,8.095954598813648e+33,3.0698993827341543e+35
2.2469107040894213e+38,1.1437183162130496e+34,3.4630118010745645e+35
2.5258621736670365e+38,1.6017779660601115e+34,3.909796506356611e+35
2.8394451585237803e+38,2.273716985267738e+34,4.41886485331751e+35
3.1919591228365022e+38,3.342930418314832e+34,5.001591246769257e+35
3.588237304486699e+38,5.273535585012515e+34,5.674361473302762e+35
4.0337129824733875e+38,9.479359834119403e+34,6.466377006569262e+35
4.534493971351742e+38,1.554543326554736e+35,7.424283045842258e+35
5.0974463640735594e+38,2.0960517233309807e+35,8.572143882910086e+35
5.73028867140844e+38,2.7290087299198797e+35,9.932840848852588e+35
6.4416976486695725e+38,3.59250221742281e+35,1.1555033765774638e+36
7.241427260710055e+38,4.708523596137307e+35,1.3500570092510552e+36
8.140442416291462e+38,6.138814493338354e+35,1.584466815526718e+36
9.151069305425763e+38,7.960888414633722e+35,1.8680316493617457e+36
