number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
9.40719120339497e+37,6.796129597466193e+32,1.4293220358282466e+35
1.0579022462482083e+38,8.822325331640064e+32,1.6083263244443135e+35
1.189682593262388e+38,1.1941554472543092e+33,1.809963306022026e+35
1.3378785022254763e+38,1.63705175462711e+33,2.03712141904589e+35
1.5045348203412036e+38,2.3575529671911015e+33,2.2934219160132292e+35
1.6919511165279513e+38,3.389496684916061e+33,2.582630396583669e+35
1.9027134114921766e+38,4.897244429407569e+33,2.9093488428507397e+35
2.139729860341027e+38,7.218494750792836e+33,3.2793977319796196e+35
2.4062708800924725e+38,1.0494105247153338e+34,3.698449590475206e+35
2.706014275773194e+38,1.551532800602713e+34,4.175458243182901e+35
3.0430959877663142e+38,2.2867395919698723e+34,4.719041804362659e+35
3.4221671606346006e+38,3.436019491385854e+34,5.3417210452413935e+35
3.848458320870163e+38,5.4440327425925e+34,6.060881730793928e+35
4.32785154911262e+38,9.611405087822217e+34,6.905726920779355e+35
4.8669616426874685e+38,1.6544107949717994e+35,7.927215807931651e+35
5.4732273883673175e+38,2.315945992864502e+35,9.16149549749025e+35
6.155014204762195e+38,3.0620977689803912e+35,1.0634865931440806e+36
6.921729570626404e+38,4.030105169523794e+35,1.2397566970903444e+36
7.783952831792865e+38,5.275793076521962e+35,1.4516778347641743e+36
8.753581177846115e+38,6.867512757619317e+35,1.7075522222908215e+36
9.843993802759568e+38,8.89122631261086e+35,2.0176508629405185e+36
