number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
8.510017707653386e+37,7.170196665902931e+32,1.2929132827195532e+35
9.564641687392172e+37,9.416683335241173e+32,1.45415662769892e+35
1.0749962426744018e+38,1.2745149731648292e+33,1.6357254451328631e+35
1.2082176829346168e+38,1.7689811834903275e+33,1.8402919633852245e+35
1.3579489038251828e+38,2.497531398861482e+33,2.0709682842333244e+35
1.5262359187800478e+38,3.561235073969393e+33,2.3313090730497137e+35
1.7153782982649364e+38,5.092754736743172e+33,2.625509461357141e+35
1.9279605924294633e+38,7.264541439903586e+33,2.958443807861324e+35
2.166887647885401e+38,1.0287840040698232e+34,3.3358074078999815e+35
2.4354243011998227e+38,1.4416460400507632e+34,3.764362865034454e+35
2.7372399914978577e+38,2.029551232434422e+34,4.2520878544852674e+35
3.0764589017872507e+38,2.926890032440201e+34,4.809112086251782e+35
3.45771631416464e+38,4.456893472441428e+34,5.44973489086877e+35
3.886221948973426e+38,7.646741288527522e+34,6.196802219959774e+35
4.3678311534159306e+38,1.4486048834207716e+35,7.098478172377273e+35
4.9091249123818846e+38,2.0779376357048915e+35,8.197293072747035e+35
5.5174997748072445e+38,2.6973115670118463e+35,9.50712660454273e+35
6.201268924368698e+38,3.535443254572412e+35,1.1068182592573624e+36
6.969775775601978e+38,4.62159990657862e+35,1.2941126168183815e+36
7.833521647686563e+38,6.014100789719917e+35,1.5198695502111264e+36
8.804309260504725e+38,7.78851222279329e+35,1.793089825404501e+36
