number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
9.904189964084462e+37,7.623568584244364e+32,1.5052156993437017e+35
1.1133784153310094e+38,9.923866557469346e+32,1.69315133403492e+35
1.2516031096133956e+38,1.3705011577165673e+33,1.904828672099305e+35
1.406988246245276e+38,1.9219434924512352e+33,2.143336866841901e+35
1.581664275094232e+38,2.729743130349987e+33,2.4122297491099084e+35
1.7780261390138542e+38,3.9762069088145786e+33,2.7159277620078332e+35
1.9987661103543387e+38,5.743510014257369e+33,3.058921720067385e+35
2.2469107040894213e+38,8.434332049101958e+33,3.4474535372453916e+35
2.5258621736670365e+38,1.2366583812261583e+34,3.888233872906588e+35
2.8394451585237803e+38,1.814671249368763e+34,4.389531175884001e+35
3.1919591228365022e+38,2.6877783621500347e+34,4.961999554175104e+35
3.588237304486699e+38,4.098818868216664e+34,5.619099148973364e+35
4.0337129824733875e+38,6.782057920676246e+34,6.381850332325125e+35
4.534493971351742e+38,1.310549411318912e+35,7.291554881642702e+35
5.0974463640735594e+38,2.092279785917837e+35,8.408933547736707e+35
5.73028867140844e+38,2.8005919357843716e+35,9.75514859051964e+35
6.4416976486695725e+38,3.676355027891768e+35,1.1364913712781208e+36
7.241427260710055e+38,4.8060034242119205e+35,1.329807075156979e+36
8.140442416291462e+38,6.251917241164807e+35,1.5630043389646158e+36
9.151069305425763e+38,8.092329886132158e+35,1.8454093747253987e+36
