number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
7.621398384042583e+37,6.097744377619444e+32,1.1512983009334602e+35
7.985099534595395e+37,7.222627298241199e+32,1.2065322875821716e+35
8.366156886759505e+37,8.637726961393518e+32,1.2645076695671585e+35
8.765398696738976e+37,1.0231884436582296e+33,1.3252920661182003e+35
9.183692745995476e+37,1.2096615509179431e+33,1.3890616829636851e+35
9.62194822743514e+37,1.4295591350247336e+33,1.4559838997993697e+35
1.0081117721606305e+38,1.679497024180542e+33,1.526182080407567e+35
1.056219926720342e+38,1.9780449367658645e+33,1.5999043226747832e+35
1.1066238530377635e+38,2.3152158118198872e+33,1.677249143006491e+35
1.1594331077569136e+38,2.7142132668333754e+33,1.7585083719949305e+35
1.214762475680145e+38,3.1675448073622614e+33,1.8438067826301337e+35
1.2727322192613625e+38,3.695569747568613e+33,1.9334381442236675e+35
1.3334683400053177e+38,4.300140818655213e+33,2.027608048691051e+35
1.3971028523411542e+38,4.988394433142286e+33,2.1265479701986308e+35
1.4637740705654889e+38,5.767984458361857e+33,2.2306184245349662e+35
1.5336269094787146e+38,6.649211373807706e+33,2.3400174030968877e+35
1.606813199367986e+38,7.64723447548263e+33,2.4550631845342538e+35
1.6834920160215254e+38,8.786951993450528e+33,2.5761455258178412e+35
1.7638300264915584e+38,1.0082818786704152e+34,2.703586953257039e+35
1.8480018513574183e+38,1.155341406763366e+34,2.8377564026099364e+35
1.9361904442762303e+38,1.3222129937098293e+34,2.97907016071728e+35
2.0285874896461514e+38,1.5114708193629142e+34,3.1279749354007517e+35
2.1253938192465207e+38,1.7259373640327722e+34,3.284950380185077e+35
2.2268198487605133e+38,1.968664757542275e+34,3.450508929545142e+35
2.333086035129117e+38,2.2430072953636345e+34,3.6252026237583734e+35
2.4444233557305193e+38,2.552609158913188e+34,3.8096234641272345e+35
2.5610738104264457e+38,2.9014471606186014e+34,4.004408299893103e+35
2.6832909475666644e+38,3.2938388583552405e+34,4.210240359808384e+35
2.8113404150949967e+38,3.734783766612975e+34,4.427890586359357e+35
2.945500537954671e+38,4.229622767226639e+34,4.6581878059320645e+35
3.0860629230480757e+38,4.783403400766127e+34,4.901928965465022e+35
3.2333330930658264e+38,5.402730507254476e+34,5.16013342594221e+35
3.3876311505628248e+38,6.093754343212686e+34,5.433749095052666e+35
3.549292473724719e+38,6.863825943194511e+34,5.723942224240845e+35
3.7186684453370834e+38,7.720222540370036e+34,6.0318239364091954e+35
3.896127216541766e+38,8.671213232893719e+34,6.35870534670819e+35
4.0820545070404855e+38,9.72547298463352e+34,6.705996681817539e+35
4.276854443485016e+38,1.0892256365493953e+35,7.075142547554967e+35
4.480950437876184e+38,1.218155888903618e+35,7.467751571593111e+35
4.694786107881043e+38,1.3596931218494685e+35,7.885548845933185e+35
4.9188262410685155e+38,1.5076922671044272e+35,8.33021269726827e+35
5.1535578051593925e+38,1.6677821145665884e+35,8.803427345717616e+35
5.39949100648651e+38,1.8427862070898607e+35,9.307192936964368e+35
5.6571603989657755e+38,2.034584594110501e+35,9.843761175099582e+35
5.927126045988456e+38,2.2450696634518496e+35,1.0415511125414034e+36
6.2099747377601755e+38,2.476089244510708e+35,1.1025067650455993e+36
6.5063212667326296e+38,2.7273622932462355e+35,1.1675225019377208e+36
6.816809763900223e+38,3.0017375860992537e+35,1.2368929195709538e+36
7.142115098866205e+38,3.302572086722734e+35,1.3109446651964128e+36
7.48294434672143e+38,3.63255904342258e+35,1.3900335036311e+36
7.840038324924112e+38,3.994461673388624e+35,1.4745459554068875e+36
8.214173203521101e+38,4.391241895175823e+35,1.564899595573412e+36
8.60616219221061e+38,4.826059226765396e+35,1.6615473184232915e+36
9.016857307913359e+38,5.302321055590535e+35,1.7649789666290407e+36
9.447151226694067e+38,5.823712579807466e+35,1.8757245807057377e+36
9.89797922405858e+38,6.394228509263892e+35,1.994357820074216e+36
1.0370321207844038e+39,7.018123218934873e+35,2.121499550334879e+36
1.0865203848120675e+39,7.700064531143943e+35,2.2578214071262177e+36
1.1383702808734815e+39,8.44505716195829e+35,2.404050262780252e+36
1.1926945085343383e+39,9.258489090034607e+35,2.560972220184123e+36
