number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
7.606093481910339e+37,6.0691745772013784e+32,1.150191068484428e+35
7.968263348840061e+37,7.053511595383545e+32,1.2052536402121871e+35
8.347678206621378e+37,8.262737164791309e+32,1.2630207063701658e+35
8.745159188475535e+37,9.625735459367736e+32,1.3235806449967751e+35
9.16156652650025e+37,1.1202338741310407e+33,1.3870926549076273e+35
9.597801413392157e+37,1.3056822796509272e+33,1.4537240740295386e+35
1.0054807952816532e+38,1.5147997762963232e+33,1.5235953109340797e+35
1.0533575202645398e+38,1.7639749921872518e+33,1.596938964761434e+35
1.1035139315485907e+38,2.0436201891319127e+33,1.6738596901827672e+35
1.1560585781131597e+38,2.375227977907407e+33,1.7546323929189216e+35
1.2111051775789672e+38,2.7500145456753275e+33,1.839379897347877e+35
1.2687728623168509e+38,3.187898972653483e+33,1.9283854631146733e+35
1.3291864372751652e+38,3.689319772937165e+33,2.021837201174666e+35
1.3924766500838347e+38,4.263687347300224e+33,2.119979210291942e+35
1.4587804740196071e+38,4.9316139280365175e+33,2.2231282126361147e+35
1.5282414044449146e+38,5.693778164616414e+33,2.331500093769238e+35
1.601009769361894e+38,6.565374464571434e+33,2.445400610020784e+35
1.677243054753668e+38,7.574152365439243e+33,2.565221714724059e+35
1.7571062454170016e+38,8.72696973713874e+33,2.691246553253775e+35
1.8407721820239535e+38,1.0044113106022708e+34,2.8238477990386075e+35
1.9284219351852986e+38,1.1548495560603232e+34,2.9634282813567302e+35
2.0202451973252477e+38,1.3265266220520375e+34,3.1104202586704344e+35
2.116440693215595e+38,1.5221908094510413e+34,3.265287598269824e+35
2.2172166100577353e+38,1.7448356776603036e+34,3.4285281205761436e+35
2.3227910480433834e+38,1.997714233785295e+34,3.600676126623232e+35
2.4333924923690627e+38,2.2843561572924256e+34,3.782305141690027e+35
2.5492603077259354e+38,2.6085879667131934e+34,3.974030893264211e+35
2.6706452563351185e+38,2.9745566009741535e+34,4.1765145651097136e+35
2.797810040649663e+38,3.386756283838381e+34,4.390466339217891e+35
2.9310298718976787e+38,3.8508930610063e+34,4.6167539397636306e+35
3.0705930656970825e+38,4.371470199058919e+34,4.856122626936801e+35
3.2168016660309728e+38,4.954422396543758e+34,5.109502343188601e+35
3.3699720989340857e+38,5.606118850094343e+34,5.3779063179489674e+35
3.530435857304999e+38,6.332937015286914e+34,5.662355831396443e+35
3.6985402183262025e+38,7.141978842462898e+34,5.963973193061092e+35
3.8746489950446555e+38,8.040963798199577e+34,6.284070614733399e+35
4.0591433237394254e+38,9.037815556232223e+34,6.623897860568673e+35
4.2524224887804206e+38,1.0141247372983844e+35,6.984894454464084e+35
4.454904786763401e+38,1.1360533524866e+35,7.368603092544953e+35
4.667028431791422e+38,1.2705605975373534e+35,7.776678539695919e+35
4.88925250386194e+38,1.4187151922154056e+35,8.210897545616773e+35
5.1220579424120794e+38,1.581633569080948e+35,8.673212729859902e+35
5.3659485871723125e+38,1.760552849774768e+35,9.165669157103878e+35
5.62145226858116e+38,1.9567949698242657e+35,9.690487252113212e+35
5.8891219501208206e+38,2.1717630706641117e+35,1.0250076259708432e+36
6.169536925045964e+38,2.4069501664756084e+35,1.0847030749832424e+36
6.4633040700956616e+38,2.6640243892481248e+35,1.1484111710398836e+36
6.771059158901771e+38,2.944744209332556e+35,1.2164317591210744e+36
7.093468237936234e+38,3.251022914982017e+35,1.2890870297061831e+36
7.431229067975145e+38,3.584859252995832e+35,1.366725583428188e+36
7.785072634199222e+38,3.948549305618978e+35,1.4497194373033932e+36
8.155764728198834e+38,4.344436106147438e+35,1.5384723430675533e+36
8.54410760530742e+38,4.775168668148608e+35,1.633417360623013e+36
8.950941720850028e+38,5.243550943688495e+35,1.7350220287272235e+36
9.377147549064723e+38,5.752651865666905e+35,1.843789876485053e+36
9.823647488633202e+38,6.3057676867025574e+35,1.9602634910964863e+36
1.0291407858944771e+39,6.906522263726139e+35,2.0850280097327217e+36
1.0781440991413901e+39,7.558787227093864e+35,2.218713593148801e+36
1.1294807420377426e+39,8.26685182414688e+35,2.362000975672961e+36
1.1832618178312988e+39,9.035272202745798e+35,2.515622546978855e+36
1.2396037200346035e+39,9.869135553620653e+35,2.6803714555273806e+36
