number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
7.488103857589992e+37,6.762884790111916e+32,1.1326654931215909e+35
8.804883581643429e+37,1.1597820037796276e+33,1.3334110511328609e+35
1.035321843295658e+38,1.9640522382886505e+33,1.5705577538587156e+35
1.2173827277396564e+38,3.2858581935810504e+33,1.8512295956117692e+35
1.4314589375234731e+38,5.434970197637732e+33,2.184233123334808e+35
1.68318035333095e+38,8.901348386532062e+33,2.5806120589940923e+35
1.9791668678535487e+38,1.4460503791771207e+34,3.0544365689575327e+35
2.3272024789604003e+38,2.3343847283471393e+34,3.623979113541623e+35
2.7364399970746592e+38,3.750044390057049e+34,4.3134600444742426e+35
3.217641750250723e+38,5.997045720985484e+34,5.155640101486236e+35
3.783462617131913e+38,9.457726248689282e+34,6.1955885212172424e+35
4.448782831127566e+38,1.3367614322889324e+35,7.484814440161913e+35
5.2310993080562395e+38,1.7874049330207143e+35,9.072172403375182e+35
6.150985788580475e+38,2.4635050041698944e+35,1.1035513964533965e+36
7.232633896483506e+38,3.491274720260308e+35,1.349111159580054e+36
8.504489341802643e+38,4.785371195191654e+35,1.658236201770011e+36
9.999999999999956e+38,6.68877131931562e+35,2.049108793072654e+36
