number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
8.804883581643229e+37,6.563264946898504e+32,1.3393981887069677e+35
9.884959046625324e+37,8.305107222744061e+32,1.5046036316548808e+35
1.1097524964120424e+38,1.0732641791454963e+33,1.690325972766722e+35
1.2458833642949748e+38,1.4280446485659949e+33,1.8991901029477746e+35
1.3987131026472009e+38,1.9653219977770967e+33,2.1342112101778005e+35
1.5702901247293352e+38,2.7960424084698225e+33,2.3988836117764392e+35
1.7629141180958997e+38,4.08887542409399e+33,2.697299145880943e+35
1.9791668678535027e+38,6.090552590421449e+33,3.0343032784138764e+35
2.2219468609394625e+38,9.147476779729532e+33,3.415696248562379e+35
2.494508135230248e+38,1.3727547477300756e+34,3.848485517864873e+35
2.800503894183553e+38,2.0444696704725792e+34,4.341197091000802e+35
3.1440354715914118e+38,3.009269248176907e+34,4.904259896802958e+35
3.529707302730552e+38,4.369484528110847e+34,5.550487884513514e+35
3.962688638701367e+38,6.2571880749219625e+34,6.29569317253745e+35
4.4487828311274584e+38,8.842605815803213e+34,7.159467754879532e+35
4.994505115854998e+38,1.2343878258454227e+35,8.166172598593847e+35
5.607169938205296e+38,1.7038065031471378e+35,9.346175298659092e+35
6.2949889902217064e+38,2.327357870017898e+35,1.0737382759239436e+36
7.067181273927286e+38,3.1484601190460617e+35,1.2387125509094716e+36
7.93409666579726e+38,4.220854736176376e+35,1.4354467101859663e+36
8.907354638610179e+38,5.610816872820192e+35,1.6713036909154227e+36
9.999999999999703e+38,7.400037249743348e+35,1.9554519818283103e+36
