number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
8.095237572346382e+37,6.342939108519789e+32,1.2319349662443763e+35
9.531339454830888e+37,8.993776384481466e+32,1.451827274286194e+35
1.1222207006444217e+38,1.2736477335265428e+33,1.7112772078630886e+35
1.3213035868915032e+38,1.8667644277408492e+33,2.01758930318966e+35
1.5557039428428142e+38,2.828378053583365e+33,2.3795820533758952e+35
1.8316871170163644e+38,4.410879113579129e+33,2.8079893803750892e+35
2.1566299359715068e+38,7.033838877516688e+33,3.316018987464024e+35
2.5392178814384902e+38,1.1400399115451182e+34,3.920219622974724e+35
2.9896772468348773e+38,1.876326574708761e+34,4.6416224696926806e+35
3.5200484785412025e+38,3.182192036697003e+34,5.508503156019676e+35
4.1445080081464004e+38,5.5193525811673525e+34,6.56034693052149e+35
4.8797471780014265e+38,9.675382177157375e+34,7.854405208489928e+35
5.7454183884814304e+38,1.69875743498351e+35,9.47669735351674e+35
6.7646603921435615e+38,2.969760213083039e+35,1.1558522595844848e+36
7.964716775505514e+38,5.157206320445064e+35,1.4307220154445615e+36
9.377664160006308e+38,8.876694248174621e+35,1.80522211078056e+36
