number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
6.386961398472605e+37,6.742986093033011e+32,9.655236720884697e+34
7.186010754641474e+37,8.785733407921511e+32,1.0872822883576055e+35
8.085026250224705e+37,1.1161757055631996e+33,1.2245494112710942e+35
9.096514282921343e+37,1.3940122801050712e+33,1.379310130309479e+35
1.0234545880057258e+38,1.7358282499962123e+33,1.5538153517413392e+35
1.1514952443669204e+38,2.2012943045701097e+33,1.750646790958432e+35
1.2955545984539728e+38,2.915103517528792e+33,1.9728201494211464e+35
1.4576366908905774e+38,4.0830486870126976e+33,2.223935422259069e+35
1.6399962804855245e+38,6.050839129923084e+33,2.508370712972818e+35
1.84517021066689e+38,9.355521816186404e+33,2.831607224540143e+35
2.076012700055966e+38,1.470222382518209e+34,3.2005884646050653e+35
2.3357350481156868e+38,2.292878557898815e+34,3.624094344526364e+35
2.6279503082273624e+38,3.490918750601226e+34,4.113089141084601e+35
2.9567235496524655e+38,5.139963966561522e+34,4.680948149619589e+35
3.3266284075844576e+38,7.28899893060805e+34,5.343509441845247e+35
3.742810707970538e+38,9.96418881019953e+34,6.1190500157361165e+35
4.211060052201896e+38,1.3219193218198796e+35,7.028538563771164e+35
4.73789035750248e+38,1.723001347726639e+35,8.0968885393017e+35
5.3306304734309034e+38,2.2371807353091077e+35,9.355509182825097e+35
5.9975261350811725e+38,2.9207144076832115e+35,1.084564348297958e+36
6.7478546712750205e+38,3.840232884705431e+35,1.2621475427500042e+36
7.592054063476267e+38,5.065186515635525e+35,1.47525113010681e+36
8.541868150793387e+38,6.666506703625779e+35,1.732572845037969e+36
9.610510001048351e+38,8.719110619752538e+35,2.0448076322069217e+36
