number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
1.2173827277396564e+38,1.2949465371440102e+33,1.8455240643750382e+35
1.4314589375234731e+38,2.639092789926405e+33,2.1733630315647043e+35
1.68318035333095e+38,5.087860884347338e+33,2.562080623923631e+35
1.9791668678535487e+38,9.338162690618516e+33,3.024873966301793e+35
2.3272024789604003e+38,1.642050331133164e+34,3.5787690561994725e+35
2.7364399970746592e+38,2.7818304241809492e+34,4.24595335534244e+35
3.217641750250723e+38,4.5656109154212925e+34,5.055643842878354e+35
3.783462617131913e+38,7.297031153947085e+34,6.0466650508268376e+35
4.448782831127566e+38,1.1405148069111952e+35,7.271034567095387e+35
5.2310993080562395e+38,1.7480942686883786e+35,8.79877881971137e+35
6.150985788580475e+38,2.631455194818215e+35,1.0724295021574024e+36
7.232633896483506e+38,3.894058252616548e+35,1.3174473845970268e+36
8.504489341802643e+38,5.671668698273246e+35,1.631932092586982e+36
9.999999999999956e+38,8.146522082996375e+35,2.038634193332796e+36
