number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
7.987579332758216e+37,8.395152900587846e+32,1.2087195028159598e+35
9.387220218323872e+37,1.430603016601385e+33,1.4224529480256335e+35
1.1032116208964086e+38,2.406845569217051e+33,1.674972990124628e+35
1.2965242661561805e+38,4.0011969862006193e+33,1.9739366768940557e+35
1.5237105382972257e+38,6.580453697973323e+33,2.3288531336886515e+35
1.7907060169426457e+38,1.072476651383714e+34,2.751712876295217e+35
2.1044863565084103e+38,1.7350158689585932e+34,3.2578768462646983e+35
2.4732495355611986e+38,2.790980450430094e+34,3.867436242517505e+35
2.9066300412146383e+38,4.469144183768243e+34,4.6072049545218214e+35
3.415950584450179e+38,7.12282318885084e+34,5.5136932086514875e+35
4.014517922800156e+38,1.1277342998102704e+35,6.637405495309002e+35
4.7179705192010886e+38,1.7670629255980575e+35,8.048663865712312e+35
5.544687120122411e+38,2.7280627052103503e+35,9.845051213276024e+35
6.516266927682552e+38,4.1361037735747986e+35,1.2160660033410384e+36
7.658093910963906e+38,6.152653149009626e+35,1.5177954104790317e+36
8.99999999999992e+38,8.991088840310387e+35,1.9143800263990263e+36
