number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
7.078842132093006e+37,6.043299611413254e+32,1.0736756199300545e+35
7.775634029554469e+37,7.505818326897272e+32,1.1798686695449265e+35
8.541013266485867e+37,9.360391197087518e+32,1.2968317902100266e+35
9.3817311027005e+37,1.1721017151403193e+33,1.4255138401780467e+35
1.0305203344988109e+38,1.4759203069937798e+33,1.5671259355439626e+35
1.1319575760488976e+38,1.8726872904201753e+33,1.7230188843683802e+35
1.2433795928904828e+38,2.3918623586573496e+33,1.8947047433365087e+35
1.3657692167340729e+38,3.0802666777747356e+33,2.083876697044271e+35
1.5002060223958509e+38,4.025939746282099e+33,2.292463243031289e+35
1.6478758505149364e+38,5.350544840487193e+33,2.5226856967913067e+35
1.810081267620591e+38,7.226080540946419e+33,2.777123980009051e+35
1.9882530558155468e+38,9.894462724845132e+33,3.058814693662329e+35
2.1839628334237167e+38,1.3687581527155798e+34,3.3713732284222225e+35
2.3989369179265285e+38,1.9048877621554152e+34,3.719149663838293e+35
2.6350715534701167e+38,2.6554122677338766e+34,4.107421089713017e+35
2.8944496372622313e+38,3.6929313873104687e+34,4.542621980421415e+35
3.1793590923991087e+38,5.106453270345206e+34,5.032613085639517e+35
3.492313049185418e+38,7.002453665834305e+34,5.586988556424114e+35
3.83607201296271e+38,9.50590529369948e+34,6.21742341601333e+35
4.2136682139844696e+38,1.2761730025603946e+35,6.938067162800736e+35
4.6284323541231896e+38,1.6937122025226074e+35,7.765993828803234e+35
5.0840229863369325e+38,2.2225155155730284e+35,8.721736319009461e+35
5.5844587860458865e+38,2.8849810346758853e+35,9.82994788042554e+35
6.1341539990783815e+38,3.707233905998821e+35,1.111995865607534e+36
6.7379573788657015e+38,4.720077673990121e+35,1.2626840298423771e+36
7.4011949563431e+38,5.9600507882746194e+35,1.4392417554827493e+36
8.129717019821823e+38,7.47075122910353e+35,1.6466557667706338e+36
8.929949719232442e+38,9.304442594951992e+35,1.890873519230375e+36
