number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
6.55680376560774e+37,6.965411072978965e+32,9.91677197459203e+34
7.2195874878646595e+37,9.334865277786191e+32,1.0927259921118323e+35
7.949367612361481e+37,1.24249311279176e+33,1.2042595139190622e+35
8.752916360204966e+37,1.6428968225758124e+33,1.3274185725680489e+35
9.637690511331698e+37,2.159053564574752e+33,1.4634822964339672e+35
1.0611900602011234e+38,2.821441645640934e+33,1.6138841344869767e+35
1.1684587117065043e+38,3.6565287454281944e+33,1.7801897311102926e+35
1.2865704383850564e+38,4.674314484868272e+33,1.9642297241145905e+35
1.4166212946530617e+38,5.949377373974678e+33,2.1680200893772504e+35
1.5598181277843869e+38,7.568225477736546e+33,2.3938514569144697e+35
1.7174897772242315e+38,9.646163875402706e+33,2.6443529022546213e+35
1.8910994059670826e+38,1.2339772916816593e+34,2.922553240305698e+35
2.08225807843172e+38,1.586200051888068e+34,3.2319762900551134e+35
2.2927397108333884e+38,2.0496069129877707e+34,3.576752940370521e+35
2.5244975327897338e+38,2.6606428770318527e+34,3.961759498086174e+35
2.7796822129211056e+38,3.4645933301270476e+34,4.3927992394204985e+35
3.06066181664735e+38,4.51355923712104e+34,4.87672448387268e+35
3.3700437813856426e+38,5.865204860318099e+34,5.42164285222208e+35
3.7106991130750665e+38,7.579998502617594e+34,6.037079820128776e+35
4.085789028567054e+38,9.718954585649366e+34,6.734134803800205e+35
4.4987942911180455e+38,1.2342499738304558e+35,7.52566216357284e+35
4.953547511212172e+38,1.5510805936680257e+35,8.426415763610783e+35
5.454268712459438e+38,1.9286951567572805e+35,9.453215211296235e+35
6.005604492614247e+38,2.3738491264333045e+35,1.0625275021686587e+36
6.6126711431210305e+38,2.8940068729497524e+35,1.19644737613769e+36
7.281102127328234e+38,3.497576311153614e+35,1.3495706520777795e+36
8.017100357959453e+38,4.193810970988274e+35,1.5247243326442532e+36
8.82749575896672e+38,4.993839444501678e+35,1.7251276627354927e+36
9.719808645929083e+38,5.9102164848292856e+35,1.95444557872476e+36
1.0702319513154463e+39,6.95726130787546e+35,2.2168491343762647e+36
1.178414587509591e+39,8.15133316334334e+35,2.517086279594048e+36
1.297532687515603e+39,9.510873740964992e+35,2.86054747447555e+36
