number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
1.0979341127795762e+38,7.869535887463275e+32,1.6702816714722708e+35
1.2112852759030348e+38,1.2645872914914784e+33,1.8438491583210585e+35
1.3363388590823868e+38,1.983516178876525e+33,2.0359590894749103e+35
1.4743030249106833e+38,3.035763941476502e+33,2.2488053068919868e+35
1.626510667177109e+38,4.539080753497272e+33,2.4849254032587396e+35
1.7944322881662658e+38,6.647220635555981e+33,2.747256521247487e+35
1.97969020541505e+38,9.560837682692422e+33,3.0392112398434154e+35
2.1840742251808748e+38,1.3543134807042328e+34,3.364799536206907e+35
2.4095589340451136e+38,1.8933784106849289e+34,3.728782257885632e+35
2.658322775708689e+38,2.6146195353216975e+34,4.136774865804152e+35
2.9327690972837755e+38,3.566899801810945e+34,4.5954427108449255e+35
3.2355493684132067e+38,4.8054471185428285e+34,5.1126912463760386e+35
3.569588797541174e+38,6.389811540465185e+34,5.697911182509004e+35
3.938114592818101e+38,8.380681969559336e+34,6.3619457317454744e+35
4.3446871406728155e+38,1.0840037051580902e+35,7.117445170123787e+35
4.7932344032731436e+38,1.3830345667821827e+35,7.979025523116709e+35
5.288089867194289e+38,1.7414893579698245e+35,8.963478587352005e+35
5.8340344099231386e+38,2.1663360729998215e+35,1.0089902500371954e+36
6.4363424886774336e+38,2.66514705478164e+35,1.1380188282831904e+36
7.100833097777394e+38,3.246198155103153e+35,1.2859313712572552e+36
7.833925986877026e+38,3.9190218230226426e+35,1.455571743886133e+36
8.642703683188457e+38,4.694834968059754e+35,1.650188407430611e+36
9.534979916905851e+38,5.5862774740455974e+35,1.873489230018299e+36
1.0519375110897867e+39,6.60731313275693e+35,2.1296837282615672e+36
1.1605399663986528e+39,7.774767167652999e+35,2.423598473877322e+36
1.2803545832425667e+39,9.10779037536338e+35,2.760746842276252e+36
