number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
7.411321304748713e+37,6.738805221354555e+32,1.1248824425311568e+35
8.176469122269521e+37,7.999328512122458e+32,1.2417731873245336e+35
9.020611110813749e+37,8.882620438456179e+32,1.3699781860427914e+35
9.951902660637756e+37,1.127640661039692e+33,1.5124894302928403e+35
1.0979341127795762e+38,1.4696905884695622e+33,1.6700217371366936e+35
1.2112852759030348e+38,1.9646611745713777e+33,1.84422860034257e+35
1.3363388590823868e+38,2.6855283983970747e+33,2.037059400236864e+35
1.4743030249106833e+38,3.766824493284115e+33,2.250729692963162e+35
1.626510667177109e+38,5.398442073135148e+33,2.487839424186125e+35
1.7944322881662658e+38,7.864684229163702e+33,2.7514970803964565e+35
1.97969020541505e+38,1.1599288820099803e+34,3.0455074720811626e+35
2.1840742251808748e+38,1.7246320896140498e+34,3.374607176816073e+35
2.4095589340451136e+38,2.573392628984155e+34,3.744820920618747e+35
2.658322775708689e+38,3.832565478538629e+34,4.1639533154676674e+35
2.9327690972837755e+38,5.65928072411085e+34,4.64221765702007e+35
3.2355493684132067e+38,8.218667780192375e+34,5.1923809072490086e+35
3.569588797541174e+38,1.1676451109841816e+35,5.830239674131316e+35
3.938114592818101e+38,1.6199938443376465e+35,6.574946432508463e+35
4.3446871406728155e+38,2.1971017486889437e+35,7.449633564462382e+35
4.7932344032731436e+38,2.9203447244504315e+35,8.481357560083912e+35
5.288089867194289e+38,3.816105063155741e+35,9.702677936383636e+35
5.8340344099231386e+38,4.91686786608849e+35,1.1152686787023007e+36
6.4363424886774336e+38,6.262631457366473e+35,1.2878223562980844e+36
7.100833097777394e+38,7.902816502736099e+35,1.4935209317661313e+36
7.833925986877026e+38,9.897665095552216e+35,1.7391213442848733e+36
