number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
9.729618153416132e+37,6.130484580348677e+32,1.4801131962809976e+35
1.0739091673621018e+38,6.950719603617162e+32,1.633661718807488e+35
1.1853300731431462e+38,1.0774680816122746e+33,1.8041602773885937e+35
1.3083111914844048e+38,1.6996727316883935e+33,1.99287825803248e+35
1.4440519248992611e+38,2.667328528268204e+33,2.201999789625966e+35
1.5938761170721963e+38,4.1177610229811226e+33,2.434069938720287e+35
1.7592449639581798e+38,6.219265415539728e+33,2.692034969195683e+35
1.9417712644426498e+38,9.187160562723928e+33,2.979350758558799e+35
2.1432351495450047e+38,1.3295228930568265e+34,3.30010067621018e+35
2.3656014435684147e+38,1.8881513223789432e+34,3.659093990484315e+35
2.6110388265146622e+38,2.6359263567799097e+34,4.062016141324971e+35
2.8819409846500213e+38,3.6226582845270378e+34,4.515638052838395e+35
3.1809499554980632e+38,4.906472207523451e+34,5.028053215833512e+35
3.5109818949369985e+38,6.551415345156384e+34,5.608721663649442e+35
3.875255517701245e+38,8.627256830261174e+34,6.268836543274623e+35
4.2773234886599785e+38,1.1206825158841673e+35,7.021556931965647e+35
4.721107071023549e+38,1.4364981248617987e+35,7.882085276896083e+35
5.2109343693926005e+38,1.817967160502528e+35,8.867967892668761e+35
5.75158254062432e+38,2.273213058957143e+35,9.999446801522836e+35
6.34832438418726e+38,2.810670179652681e+35,1.1299754838566114e+36
7.006979766388252e+38,3.4401371899660114e+35,1.2795361686269844e+36
7.73397237999836e+38,4.1723553042749254e+35,1.4516630472725376e+36
8.536392392839578e+38,5.019038964913716e+35,1.64981902438396e+36
9.422065596327463e+38,5.994099402610165e+35,1.877961564667219e+36
1.0399629728357307e+39,7.113562809564149e+35,2.1406216613394384e+36
1.1478618714890783e+39,8.395371687038325e+35,2.4429677878023545e+36
1.2669555651829263e+39,9.859527771390507e+35,2.7908701987288616e+36
