number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
7.7172363696781105e+37,6.584058063925017e+32,1.1717516314045866e+35
8.481225272879504e+37,8.332779576679582e+32,1.2884853719066783e+35
9.32084734529523e+37,1.0632754902090124e+33,1.4169742305088444e+35
1.024359009919338e+38,1.3657214387521908e+33,1.5584448217667475e+35
1.125768229358004e+38,1.762892900598291e+33,1.714264178802679e+35
1.2372167315945725e+38,2.271499426156043e+33,1.8859558584742578e+35
1.3596983828638308e+38,2.927201439099826e+33,2.0752151997057982e+35
1.4943054399044038e+38,3.7854936905029114e+33,2.283953606389216e+35
1.642238290395552e+38,4.914862910823328e+33,2.514331772582041e+35
1.804816157675126e+38,6.406476916146754e+33,2.768802412275379e+35
1.9834888652003316e+38,8.383382379909814e+33,3.0501659224384023e+35
2.1798497656634317e+38,1.101225072715591e+34,3.36164179077518e+35
2.3956499500605935e+38,1.4518587718269295e+34,3.706961835935997e+35
2.6328138634263323e+38,1.9205634345896025e+34,4.090491012037584e+35
2.8934564664902588e+38,2.5471904689607634e+34,4.517360762189347e+35
3.1799020962989363e+38,3.3837743317717376e+34,4.993667236158669e+35
3.494705193996535e+38,4.496916256124838e+34,5.5266937860002746e+35
3.8406730846087784e+38,5.970334951447336e+34,6.125185152697427e+35
4.2208910119738515e+38,7.907426866077712e+34,6.799673735887077e+35
4.6387496520747046e+38,1.043386709595547e+35,7.5628644244451e+35
5.097975350128867e+38,1.3700366120282725e+35,8.430082851531374e+35
5.6026633510816154e+38,1.7885813558430966e+35,9.419798036953418e+35
6.1573143198426035e+38,2.320127599432506e+35,1.055424779281165e+36
6.7668744769431185e+38,2.9895010263965673e+35,1.1860187585175892e+36
7.43677970753241e+38,3.825805783016702e+35,1.3369546479435994e+36
8.17300403706465e+38,4.863424350510634e+35,1.5120612865625873e+36
8.982112905968974e+38,6.1430593157267985e+35,1.715916798154591e+36
9.8713217183911e+38,7.71308784901623e+35,1.9539916141387497e+36
1.0848560187127583e+39,9.631211631982096e+35,2.2328205865263007e+36
