number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
6.9566165031334495e+37,6.548189037229801e+32,1.0530053159531465e+35
7.830822026961727e+37,8.720857117783483e+32,1.1877532149058554e+35
8.814884878349692e+37,1.1507932257090328e+33,1.3382718404370198e+35
9.922610314859328e+37,1.5247839908196254e+33,1.5081108934045929e+35
1.1169538436330198e+38,2.0355643551444465e+33,1.6998416321510894e+35
1.257316219441057e+38,2.7362330341956416e+33,1.9164207953210343e+35
1.4153172798328675e+38,3.713634470847151e+33,2.1612516587281217e+35
1.5931735959661773e+38,5.147250373335708e+33,2.438336413616732e+35
1.7933802851495828e+38,7.307819341259086e+33,2.7524551428603705e+35
2.0187460144371353e+38,1.0625870568480705e+34,3.1094191933889743e+35
2.2724324029612612e+38,1.579125890973175e+34,3.5164588751926614e+35
2.5579983757729426e+38,2.390430679003521e+34,3.982812456571731e+35
2.8794500914219517e+38,3.66740505673726e+34,4.520616940152681e+35
3.2412971437030537e+38,5.656824827030882e+34,5.1461425904003905e+35
3.6486158260132984e+38,8.672698280447544e+34,5.881243492034237e+35
4.1071203458458055e+38,1.3061083743647894e+35,6.7547083260331e+35
4.623242988476552e+38,1.917532295504158e+35,7.80333708569338e+35
5.2042243544475046e+38,2.739496239075518e+35,9.073119310905818e+35
5.858214936773037e+38,3.8172101181972046e+35,1.062098617059782e+36
6.5943894628797346e+38,5.207877828288535e+35,1.2517398686856408e+36
7.423075605364059e+38,6.984962252930905e+35,1.48498154704447e+36
8.355898867230112e+38,9.24258827810453e+35,1.772714301214179e+36
