number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
9.933835772854864e+37,7.760987646065169e+32,1.5101964646163844e+35
1.1042754529806864e+38,1.0893850136542292e+33,1.679807024954805e+35
1.2275462408870208e+38,1.553546915091628e+33,1.8687782700121437e+35
1.3645778047936108e+38,2.2303402057927183e+33,2.079478359138614e+35
1.5169062665939356e+38,3.2144415782466907e+33,2.314620636130598e+35
1.6862392261905303e+38,4.638841117309925e+33,2.577313079758336e+35
1.87447490366575e+38,6.701343337018247e+33,2.8712447248368685e+35
2.0837234183020417e+38,9.675965922952876e+33,3.2007780027102876e+35
2.3163304429892647e+38,1.3930406687955174e+34,3.571077181066837e+35
2.5749034991846103e+38,1.9966751440774769e+34,3.988354691768382e+35
2.86234118719126e+38,2.8479743272014307e+34,4.460237430310401e+35
3.1818656794267942e+38,4.040094696118486e+34,4.9961271924898735e+35
3.537058840930426e+38,5.692352130472328e+34,5.607496512579809e+35
3.9319023820194306e+38,7.962125779531491e+34,6.308791926480434e+35
4.370822493205499e+38,1.1047498652575e+35,7.1179441859996e+35
4.8587394627277696e+38,1.5198264319684271e+35,8.05744467200069e+35
5.401122832914419e+38,2.072849101833728e+35,9.155502845085576e+35
6.004052713674793e+38,2.8035670464625907e+35,1.044710714881731e+36
6.6742879404455176e+38,3.76469909571432e+35,1.1976498347217531e+36
7.41934184064016e+38,5.028040537717195e+35,1.379977130157071e+36
8.247566457943267e+38,6.692623490180769e+35,1.5988442240308483e+36
9.16824617860197e+38,8.895905131522553e+35,1.863535951318663e+36
