number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
7.842822061337475e+37,7.584258748430233e+32,1.1907577426204662e+35
8.804883581643229e+37,9.97331803289026e+32,1.3378922162687632e+35
9.884959046625324e+37,1.3205454886469074e+33,1.5034160677379634e+35
1.1097524964120424e+38,1.7663244028603973e+33,1.6897096719088115e+35
1.2458833642949748e+38,2.385222149250261e+33,1.8995015824098504e+35
1.3987131026472009e+38,3.267306250659702e+33,2.1359312924224537e+35
1.5702901247293352e+38,4.58311500627255e+33,2.402685178812846e+35
1.7629141180958997e+38,6.592318112025123e+33,2.7041596148554284e+35
1.9791668678535027e+38,9.693519311782523e+33,3.045687115606039e+35
2.2219468609394625e+38,1.4479790707439742e+34,3.433854131850396e+35
2.494508135230248e+38,2.179942419440022e+34,3.876929885273779e+35
2.800503894183553e+38,3.281404318164336e+34,4.385421291502617e+35
3.1440354715914118e+38,4.904608910605652e+34,4.972762053097992e+35
3.529707302730552e+38,7.241268909813407e+34,5.656135707152748e+35
3.962688638701367e+38,1.0525511003426078e+35,6.457437071603423e+35
4.4487828311274584e+38,1.5038095438467469e+35,7.404393718059686e+35
4.994505115854998e+38,2.111384169214805e+35,8.531894047743318e+35
5.607169938205296e+38,2.9153778871150532e+35,9.883595374799408e+35
6.2949889902217064e+38,3.964301274833646e+35,1.1513916565727906e+36
7.067181273927286e+38,5.3175160437323595e+35,1.3490524873594946e+36
7.93409666579726e+38,7.048444528851082e+35,1.5897479120999154e+36
8.907354638610179e+38,9.2486473093755e+35,1.8839198846378945e+36
