number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
8.202847841726998e+37,6.701470109228028e+32,1.2477610318444674e+35
8.913030974848563e+37,8.026985718514894e+32,1.3564236596518236e+35
9.68470008117138e+37,9.701144628867212e+32,1.4746232782216736e+35
1.0523178470591426e+38,1.1824546572697084e+33,1.603219496329022e+35
1.1434250332564259e+38,1.4519538736803845e+33,1.743156710345365e+35
1.2424200637965408e+38,1.7860676086859884e+33,1.8954679212839363e+35
1.3499858495559358e+38,2.2099688858259137e+33,2.06129412873243e+35
1.4668644262168877e+38,2.753195537370407e+33,2.2418914612184803e+35
1.59386207315312e+38,3.451933239850375e+33,2.4386585468730373e+35
1.7318548754964103e+38,4.351894190533608e+33,2.653147779221216e+35
1.88179476775375e+38,5.511041603800432e+33,2.8870933126514022e+35
2.0447161006665587e+38,7.002886780731138e+33,3.142430752752414e+35
2.2217427766130152e+38,8.920591897065491e+33,3.421343321279331e+35
2.4140960027766062e+38,1.1382035133748237e+34,3.726285502885578e+35
2.62310271556566e+38,1.453619914674663e+34,4.060041373267755e+35
2.8502047343991455e+38,1.8571189000541237e+34,4.425786950338892e+35
3.096968708005579e+38,2.3724161209810115e+34,4.8271460339445496e+35
3.3650969218489056e+38,3.029505072216383e+34,5.268300745163852e+35
3.656439041235731e+38,3.8660125738331234e+34,5.7540760903699486e+35
3.973004871112944e+38,4.929283593453229e+34,6.290075902375473e+35
4.31697822057839e+38,6.278984602703921e+34,6.882858310405233e+35
4.690731967748037e+38,7.990505775143131e+34,7.540143982570486e+35
5.0968444289036535e+38,1.0157921303570384e+35,8.271007615143914e+35
5.5381171448425014e+38,1.290074131036459e+35,9.0862887078198e+35
6.0175942071270624e+38,1.6368481672658731e+35,9.998862324500904e+35
6.5385832575556675e+38,2.0750598791769814e+35,1.102423211507118e+36
7.104678305717558e+38,2.628485971604485e+35,1.2181016298832548e+36
7.719784522037792e+38,3.327320389090387e+35,1.349187033073641e+36
8.38814517734527e+38,4.20935243785138e+35,1.4984165388291896e+36
9.114370914804691e+38,5.322804107318274e+35,1.6691618154050654e+36
9.903471556143087e+38,6.727841701821094e+35,1.8655150021870205e+36
1.076089066158406e+39,8.501016191030847e+35,2.0925512509276077e+36
