number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
7.692971026722797e+37,6.580941594684031e+32,1.1697754002820395e+35
8.364269374252108e+37,7.884948482909703e+32,1.272479765209325e+35
9.0941460616491e+37,9.517401280718742e+32,1.3842732928334323e+35
9.887712708679089e+37,1.15741936541543e+33,1.5059825146196378e+35
1.0750526981490472e+38,1.417090227598647e+33,1.6385135480041167e+35
1.1688631515184289e+38,1.740874207760399e+33,1.7828627434186976e+35
1.2708596232816265e+38,2.141444430489011e+33,1.9401228982492982e+35
1.3817564357208268e+38,2.648540133052027e+33,2.111497410201415e+35
1.5023302437808488e+38,3.2951461015210265e+33,2.2983278735345544e+35
1.6334254742958426e+38,4.1224115857380065e+33,2.502101157410533e+35
1.7759602398497692e+38,5.1824006519001147e+33,2.724471318253539e+35
1.930932768687797e+38,6.541104921858361e+33,2.9672945632207054e+35
2.099428395709873e+38,8.282143145862269e+33,3.232648832352443e+35
2.2826271635072e+38,1.0511518919249005e+34,3.522879058867017e+35
2.4818120866747417e+38,1.3363333780127455e+34,3.840639426720859e+35
2.69837813727805e+38,1.700713120023622e+34,4.188942434645836e+35
2.9338420144032505e+38,2.1656963320293227e+34,4.571235239883484e+35
3.1898527662102757e+38,2.7582891572625376e+34,4.991468640914698e+35
3.4682033388798536e+38,3.512580001361491e+34,5.4542121742191704e+35
3.7708431333361586e+38,4.471462482300611e+34,5.964767676728523e+35
4.0998916576849084e+38,5.688894628550856e+34,6.529308027093016e+35
4.4576533709804215e+38,7.232781793272569e+34,7.155083734509608e+35
4.8466338222784944e+38,9.188495322613957e+34,7.850636691582492e+35
5.2695571980033655e+38,1.166331784880308e+35,8.626092211743687e+35
5.7293854005200454e+38,1.4792199523671074e+35,9.493515261388668e+35
6.229338791526919e+38,1.8744893513101476e+35,1.0467359878139517e+36
6.772918745542902e+38,2.3733646268062515e+35,1.1564950850220548e+36
7.363932171440352e+38,3.002524205816424e+35,1.2807223166869674e+36
8.006518173757813e+38,3.795456827785866e+35,1.4219560733555e+36
8.705177040512532e+38,4.794274005796562e+35,1.5832912605264087e+36
9.46480176052602e+38,6.0514218244121605e+35,1.7684873492753503e+36
1.0290712290991171e+39,7.63267030526864e+35,1.9821512367588516e+36
1.1188692815270463e+39,9.620215506991028e+35,2.2299403613026725e+36
