number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
6.568269498190737e+37,6.803496361220225e+32,9.957686790196691e+34
7.134460779720445e+37,8.413878975732964e+32,1.0822570026136496e+35
7.749458305782073e+37,1.0418802939251904e+33,1.176356384911381e+35
8.417469222587544e+37,1.2912439236454274e+33,1.278759257312994e+35
9.143063336484136e+37,1.6017905278226895e+33,1.390230299811216e+35
9.931204375614336e+37,1.988205205241196e+33,1.5116080866733535e+35
1.0787283946361454e+38,2.469251486353726e+33,1.6438211229687898e+35
1.1717158416874218e+38,3.0460648572023943e+33,1.7878872632207293e+35
1.2727188979987382e+38,3.743748156514796e+33,1.944917027146245e+35
1.3824285169605482e+38,4.603324630539623e+33,2.116148295159605e+35
1.5015952128241557e+38,5.670131426440453e+33,2.3029678064268653e+35
1.6310341949064184e+38,6.999405209722926e+33,2.5069174144200317e+35
1.7716309443679344e+38,8.660977871162642e+33,2.7297302274843816e+35
1.924347271714989e+38,1.0742205109732894e+34,2.973352639651147e+35
2.090227896464115e+38,1.3352641100005291e+34,3.239984583921028e+35
2.2704075939802044e+38,1.6630736635429516e+34,3.532125755995064e+35
2.4661189583790807e+38,2.0750210420983044e+34,3.852617435560782e+35
2.6787008345998983e+38,2.592813597733758e+34,4.204718851951541e+35
2.9096074773304667e+38,3.2437265660912874e+34,4.592175115689552e+35
3.1604184994409255e+38,4.0621917370814494e+34,5.0193362224919295e+35
3.432849677982176e+38,5.09081971876825e+34,5.491230276967398e+35
3.7287646916720014e+38,6.383078299751725e+34,6.013739051527264e+35
4.050187870163998e+38,8.006168067890918e+34,6.593790614906196e+35
4.399318042316024e+38,1.0043382714529571e+35,7.239526474512434e+35
4.778543578192985e+38,1.259850567065886e+35,7.960585064456298e+35
5.19045872770503e+38,1.5802221351060124e+35,8.768514800538575e+35
5.6378813676524114e+38,1.9814859052484534e+35,9.67698218431618e+35
6.123872278583041e+38,2.4838267288654573e+35,1.0702512735581556e+36
6.6517560833340876e+38,3.112101798263215e+35,1.186486483610515e+36
7.225143990496453e+38,3.8974375233630866e+35,1.318805230858005e+36
7.847958498388168e+38,4.878092840082159e+35,1.470092417435076e+36
8.52446022853465e+38,6.1018707824776594e+35,1.6438746406245466e+36
9.259277072221186e+38,7.627730959169609e+35,1.844424134628596e+36
1.0057435849506987e+39,9.528497528444624e+35,2.0769476019545185e+36
