number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
7.075549646951456e+37,6.67505345479542e+32,1.0698862304003974e+35
7.692971026722797e+37,8.728023926801853e+32,1.163912937197896e+35
8.364269374252108e+37,1.1370829699326035e+33,1.266348065984552e+35
9.0941460616491e+37,1.4759462933429604e+33,1.3779830063667524e+35
9.887712708679089e+37,1.909148082540073e+33,1.4996944444490116e+35
1.0750526981490472e+38,2.4607207370531272e+33,1.6324521433996812e+35
1.1688631515184289e+38,3.1612178137364937e+33,1.77733967818147e+35
1.2708596232816265e+38,4.0477966339435457e+33,1.9355548892723985e+35
1.3817564357208268e+38,5.1353427555669095e+33,2.108439998700708e+35
1.5023302437808488e+38,6.464826264281842e+33,2.2974595447873307e+35
1.6334254742958426e+38,8.108062595067485e+33,2.5042603399797208e+35
1.7759602398497692e+38,1.014372844672237e+34,2.730705792797106e+35
1.930932768687797e+38,1.2667073885247817e+34,2.9788873309396298e+35
2.099428395709873e+38,1.5795460514913372e+34,3.251180309758329e+35
2.2826271635072e+38,1.9674418562054592e+34,3.5502741821195545e+35
2.4818120866747417e+38,2.4484676081348997e+34,3.879236777813792e+35
2.69837813727805e+38,3.045125028760456e+34,4.241583063642469e+35
2.9338420144032505e+38,3.785569587261063e+34,4.641350821965995e+35
3.1898527662102757e+38,4.704930868044324e+34,5.083207236737398e+35
3.4682033388798536e+38,5.846943805297012e+34,5.572559402562924e+35
3.7708431333361586e+38,7.266850180949522e+34,6.1157373123540446e+35
4.0998916576849084e+38,9.03319288520534e+34,6.720130805490481e+35
4.4576533709804215e+38,1.1232396851320866e+35,7.394477665297057e+35
4.8466338222784944e+38,1.397201793052204e+35,8.149084357987962e+35
5.2695571980033655e+38,1.7387716064361272e+35,8.996267017830308e+35
5.7293854005200454e+38,2.1647383730779266e+35,9.950635593868276e+35
6.229338791526919e+38,2.6964102798585776e+35,1.102989172305952e+36
6.772918745542902e+38,3.359953625008438e+35,1.2255092883716412e+36
7.363932171440352e+38,4.1887011977170204e+35,1.3652060127801964e+36
8.006518173757813e+38,5.22348963162524e+35,1.5251663446468018e+36
8.705177040512532e+38,6.5160615282918094e+35,1.7091916295848097e+36
9.46480176052602e+38,8.130399060678143e+35,1.921884443200975e+36
