number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
7.410432991318526e+37,7.164810492293408e+32,1.1237185450206287e+35
8.059391265896042e+37,8.970522006655895e+32,1.2228292424595602e+35
8.765181151073911e+37,1.1262339634557345e+33,1.330797096571647e+35
9.532779595432586e+37,1.4174843976419675e+33,1.4484470515559623e+35
1.0367599396843263e+38,1.787509238704318e+33,1.5766872371424096e+35
1.1275527371358174e+38,2.25794482445391e+33,1.7165235499582982e+35
1.226296586468786e+38,2.847664258184872e+33,1.8690685399000777e+35
1.3336877898987872e+38,3.574092653551377e+33,2.0355450184034247e+35
1.4504836273311989e+38,4.4887774035439806e+33,2.217314772629084e+35
1.5775076963968723e+38,5.64866510005462e+33,2.4159046464881777e+35
1.7156557201339194e+38,7.124178425616154e+33,2.6330317418195947e+35
1.8659018632690787e+38,9.004296455623958e+33,2.8706322702113057e+35
2.0293056016385728e+38,1.1403044352263045e+34,3.130903767119919e+35
2.2070191931888462e+38,1.4463660210776767e+34,3.416342148849005e+35
2.4002958032397328e+38,1.8368621243264483e+34,3.729802938422137e+35
2.6104983413061295e+38,2.3350398738476797e+34,4.0745858175169914e+35
2.8391090717919414e+38,2.9700390731294014e+34,4.454488507146475e+35
3.0877400663270724e+38,3.779116156549828e+34,4.8739470747285656e+35
3.3581445714531557e+38,4.809016956095719e+34,5.338138325682275e+35
3.6522293718184206e+38,6.118689429436439e+34,5.853147038458394e+35
3.97206823606202e+38,7.783221569136207e+34,6.426219160672652e+35
4.31991654020279e+38,9.89605759369381e+34,7.06590356426649e+35
4.6982271716507986e+38,1.2575289225749638e+35,7.782445294780232e+35
5.1096678259903795e+38,1.5970028869933616e+35,8.588186524154606e+35
5.5571398185046735e+38,2.026679763649113e+35,9.497967887177252e+35
6.043798543093065e+38,2.569953059542908e+35,1.0529752073871024e+36
6.5730757228495874e+38,3.2561932506840683e+35,1.1705397362965444e+36
7.14870360920456e+38,4.12219332568468e+35,1.3051554174827689e+36
7.774741300272058e+38,5.213998975545072e+35,1.460081706574559e+36
8.45560336398979e+38,6.589173733490265e+35,1.6393141518725072e+36
9.196090967890287e+38,8.319600018630056e+35,1.847761561159835e+36
