number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
9.694418893251062e+37,8.006234773852027e+32,1.4654419982643903e+35
1.0539105008935112e+38,1.0793663596513004e+33,1.593939406085209e+35
1.1457389618957604e+38,1.4465451896619765e+33,1.7339131985897433e+35
1.2455685446658378e+38,1.928054559339601e+33,1.8864471333394683e+35
1.3540963963501169e+38,2.5571238438031853e+33,2.0527530379586575e+35
1.4720804073454557e+38,3.3761914314699945e+33,2.2341766709624257e+35
1.6003445039300251e+38,4.439368317726254e+33,2.432222095193754e+35
1.739784402047286e+38,5.798924659441399e+33,2.6485729524047285e+35
1.891373862423925e+38,7.540545275099004e+33,2.8851152004334393e+35
2.0561714907035747e+38,9.779799026723436e+33,3.1439894575038324e+35
2.2353281300841777e+38,1.2658334023015848e+34,3.427635571382782e+35
2.4300948980845347e+38,1.6354894305301275e+34,3.7388390276121095e+35
2.6418319235637683e+38,2.1095665739667302e+34,4.080812176780538e+35
2.87201784500757e+38,2.716656102823124e+34,4.4572574923125184e+35
3.1222601364112972e+38,3.492887291038727e+34,4.8724879028754714e+35
3.39430633286939e+38,4.483860651348391e+34,5.33154771579413e+35
3.690056234263605e+38,5.747165858510355e+34,5.8403674563687656e+35
4.011575172272954e+38,7.355099537701016e+34,6.405950875395096e+35
4.3611084333538e+38,9.398621033294464e+34,7.036622302204609e+35
4.74109693841119e+38,1.199198824144154e+35,7.742317233509993e+35
5.1541942886583575e+38,1.5278536267279943e+35,8.534956084972875e+35
5.60328529670203e+38,1.9437851908132983e+35,9.42889614077024e+35
6.09150613226297e+38,2.469464558096369e+35,1.0441492796594916e+36
6.6222662232168345e+38,3.1330314544613583e+35,1.1593831252356642e+36
7.199272064898474e+38,3.969607355805013e+35,1.291156336337338e+36
7.826553103938916e+38,5.0229319620149666e+35,1.442594271433905e+36
8.50848987739147e+38,6.347529871928908e+35,1.61752033573358e+36
9.249844603653015e+38,8.011597928136884e+35,1.8206407831100653e+36
