number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
8.764972421267686e+37,6.120026448504752e+32,1.3332799282388935e+35
9.522856148470978e+37,7.519152521789188e+32,1.4491512309531688e+35
1.0346272054938845e+38,9.358570088701026e+32,1.5751799183248675e+35
1.12408865329753e+38,1.177703439755677e+33,1.7122883466689683e+35
1.2212855932674616e+38,1.4959207652560195e+33,1.86149418030507e+35
1.3268868927261268e+38,1.9069252668246597e+33,2.0239134636035035e+35
1.441619254164753e+38,2.4446213396839672e+33,2.2007845024212777e+35
1.5662722160957375e+38,3.1511464006481084e+33,2.393478828719435e+35
1.7017035863153728e+38,4.07951553908893e+33,2.603541326849994e+35
1.8488453449662664e+38,5.297586985885732e+33,2.832685411993935e+35
2.0087100580217845e+38,6.892469340932786e+33,3.082849356635286e+35
2.182397845327351e+38,8.975822432647179e+33,3.356223011938725e+35
2.3711039511496332e+38,1.1690626482271135e+34,3.6552932358467414e+35
2.5761269693308847e+38,1.5219696042139086e+34,3.982904118281222e+35
2.798877779650382e+38,1.97963404588387e+34,4.342321551294033e+35
3.0408892568891336e+38,2.571774841353532e+34,4.737323191972963e+35
3.3038268194114648e+38,3.33616825900701e+34,5.1723022968948654e+35
3.589499889854238e+38,4.3207274493374015e+34,5.652405376301812e+35
3.899874346791215e+38,5.586002502697438e+34,6.183680404341405e+35
4.237086053059556e+38,7.208303746934632e+34,6.77329713155982e+35
4.6034555538445255e+38,9.28329097833352e+34,7.429780299682795e+35
5.0015040456682775e+38,1.1930234382800964e+35,8.163306131667987e+35
5.4339707261744096e+38,1.5296773228675e+35,8.986078779356049e+35
5.903831644101976e+38,1.956586490706842e+35,9.912854079544928e+35
6.41432017916637e+38,2.495739023493774e+35,1.0961221369896758e+36
6.968949292780719e+38,3.1741226765723005e+35,1.215266096090167e+36
7.57153570273767e+38,4.02366590110826e+35,1.351278863092812e+36
8.22622614821128e+38,5.08266746155535e+35,1.5072566634858126e+36
8.937525925823339e+38,6.3971805061085184e+35,1.6869464843488528e+36
9.710329893147103e+38,8.022362307986121e+35,1.8948120619081812e+36
