number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
8.787088678029358e+37,7.222737407091984e+32,1.3363644338435992e+35
9.537551489251575e+37,8.808693429167004e+32,1.4511778308400546e+35
1.0352107705202457e+38,1.0839134270608844e+33,1.575949234862341e+35
1.1236231234073422e+38,1.3443540298351862e+33,1.7115720244323065e+35
1.2195863484121085e+38,1.6772866606717566e+33,1.859028988909274e+35
1.3237453290590244e+38,2.0970715984223936e+33,2.0193963058030857e+35
1.4368000252602589e+38,2.6374076085708245e+33,2.1938734106053375e+35
1.5595101771239805e+38,3.3367557800710775e+33,2.3837848067591017e+35
1.692700410492218e+38,4.239758524273765e+33,2.5905935776778095e+35
1.8372657785180565e+38,5.405753366136276e+33,2.8159427619843902e+35
1.994177776522185e+38,6.909480504941903e+33,3.0616662745211105e+35
2.164490870549289e+38,8.845407507717025e+33,3.329826509729168e+35
2.3493495834969243e+38,1.133320540860141e+34,3.622752499524166e+35
2.5499961864364374e+38,1.4524384492724272e+34,3.943082275693812e+35
2.7677790468124644e+38,1.8610571700638977e+34,4.2938265974129144e+35
3.0041616896218298e+38,2.385825869884069e+34,4.6785587171404735e+35
3.2607326324639938e+38,3.05861623763968e+34,5.1013315284259845e+35
3.539216060555646e+38,3.916902841896266e+34,5.566697316691584e+35
3.8414834134467596e+38,5.010053667542945e+34,6.0800659832988294e+35
4.1695659613021116e+38,6.400193035356623e+34,6.647775676102117e+35
4.525668455262264e+38,8.165425220100757e+34,7.277292675250496e+35
4.91218394361597e+38,1.040383171557282e+35,7.97745590712096e+35
5.3317098533503225e+38,1.3238433084121957e+35,8.758779220595227e+35
5.787065445148428e+38,1.6823448813722964e+35,9.633835325771596e+35
6.2813107591341544e+38,2.136699198997087e+35,1.0618590427990406e+36
6.81776717868145e+38,2.712486046315227e+35,1.1732126270665972e+36
7.400039750479288e+38,3.43881206130428e+35,1.2995949185463052e+36
8.032041410845639e+38,4.353546620134819e+35,1.4437115280504433e+36
8.718019281093818e+38,5.504164512649729e+35,1.608885121365283e+36
9.46258320865924e+38,6.948605055629248e+35,1.7991305740726553e+36
1.0270736745785848e+39,8.74925887954117e+35,2.018763769892983e+36
