number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
8.606364601185177e+37,6.227971331518377e+32,1.304441333418952e+35
9.354221854876098e+37,8.079402987767293e+32,1.4184085505505467e+35
1.0167064790421714e+38,1.0524584419793712e+33,1.5424644177470529e+35
1.1050540393025785e+38,1.3738769168808736e+33,1.6775430717432378e+35
1.201078634739667e+38,1.796251734071825e+33,1.824681902129183e+35
1.3054473677491368e+38,2.3495359506547195e+33,1.9850279646908286e+35
1.4188853091475839e+38,3.07234658364856e+33,2.1598542313254466e+35
1.5421805353869388e+38,3.998213731454331e+33,2.350586708661884e+35
1.6761896034818748e+38,5.190904592228264e+33,2.5588043937037986e+35
1.8218435016856068e+38,6.732712488055866e+33,2.7862971544936776e+35
1.98015411725465e+38,8.7246466063631e+33,3.03508363976361e+35
2.152221266235406e+38,1.1294265674766483e+34,3.30745471766991e+35
2.3392403341099363e+38,1.460269460759975e+34,3.6060280523891714e+35
2.5425105803820475e+38,1.8854009867740748e+34,3.933810668827359e+35
2.7634441647973276e+38,2.4305228799176966e+34,4.294265908369971e+35
3.0035759579041325e+38,3.1277672746715283e+34,4.691402675879991e+35
3.2645742041114725e+38,4.017771926613329e+34,5.1299023894342496e+35
3.5482521113222394e+38,5.151117163050864e+34,5.615241771664977e+35
3.856580447657309e+38,6.5911063975984865e+34,6.153866074844547e+35
4.19170123278253e+38,8.416458548325397e+34,6.753389611482413e+35
4.555942618955027e+38,1.0725557986853435e+35,7.422879797452363e+35
4.951835065170463e+38,1.3639569616164571e+35,8.173093019507647e+35
5.3821289167763786e+38,1.730925667494135e+35,9.016932492370608e+35
5.849813512680738e+38,2.1921192514704053e+35,9.969876706177208e+35
6.3581379528973406e+38,2.7706108659070837e+35,1.1050555874579456e+36
6.910633670704488e+38,3.4949252810845215e+35,1.2281427003233944e+36
7.511138966230239e+38,4.4003208688312976e+35,1.3689620868709074e+36
8.163825671904114e+38,5.530777855650858e+35,1.5308223399350015e+36
8.873228135025523e+38,6.940521599759399e+35,1.717717328789313e+36
9.64427471879672e+38,8.69748739340991e+35,1.9345456172926068e+36
