number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
1.1155352257161814e+38,6.665792830535268e+32,1.69525950517502e+35
1.2838642564488028e+38,9.824357538999364e+32,1.9522840090198907e+35
1.477593348008004e+38,1.511290057243846e+33,2.248569588206332e+35
1.7005552503786583e+38,2.3714543650563264e+33,2.5904878494364967e+35
1.9571610575325596e+38,3.743460909492991e+33,2.9856491823570555e+35
2.2524874768220815e+38,5.903830997227901e+33,3.4430941349011244e+35
2.5923772669158062e+38,9.263180471935695e+33,3.973736575279174e+35
2.9835548313473248e+38,1.442393871664512e+34,4.590891388112394e+35
3.433759254588104e+38,2.22615780081177e+34,5.3109757055285805e+35
3.9518974126394586e+38,3.403950230784341e+34,6.1544457619450846e+35
4.5482201872943585e+38,5.157995831683731e+34,7.147053409025317e+35
5.234525270304431e+38,7.755207721691174e+34,8.32128230064651e+35
6.0243905697440525e+38,1.1581615288633097e+35,9.720203488035682e+35
6.933442836299522e+38,1.720309141984622e+35,1.1400290994845269e+36
7.979666824004663e+38,2.5411314127376663e+35,1.343657874281897e+36
9.183761101880655e+38,3.723923304989597e+35,1.5929078689218343e+36
1.0569547555882636e+39,5.4115228697759835e+35,1.9011123352085964e+36
1.2164442682768335e+39,7.800552212760107e+35,2.2861519770458236e+36
