number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
9.692760224166859e+37,6.279918267188988e+32,1.4721834090033456e+35
1.1155352257161814e+38,9.447469807040746e+32,1.695488793389332e+35
1.2838642564488028e+38,1.471459626665702e+33,1.9531047516778494e+35
1.477593348008004e+38,2.350284052091565e+33,2.2503732558309217e+35
1.7005552503786583e+38,3.771044800573379e+33,2.594066731339625e+35
1.9571610575325596e+38,6.035209972474723e+33,2.992258425228324e+35
2.2524874768220815e+38,9.600624599285224e+33,3.454758425405017e+35
2.5923772669158062e+38,1.5150674833817502e+34,3.993686962787488e+35
2.9835548313473248e+38,2.369317544095842e+34,4.624228608507422e+35
3.433759254588104e+38,3.669659140912332e+34,5.365665372137986e+35
3.9518974126394586e+38,5.627190511723084e+34,6.242783828933237e+35
4.5482201872943585e+38,8.540859083524639e+34,7.287786394383132e+35
5.234525270304431e+38,1.282547960306558e+35,8.542808507274145e+35
6.0243905697440525e+38,1.903964561852136e+35,1.0063107015564106e+36
6.933442836299522e+38,2.790144200074795e+35,1.1920833711315294e+36
7.979666824004663e+38,4.028419603338525e+35,1.420937074556748e+36
9.183761101880655e+38,5.726499663723105e+35,1.7049660915576635e+36
1.0569547555882636e+39,8.04071296341789e+35,2.060217542583873e+36
