number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
7.1062231400048955e+37,6.181716758755215e+32,1.079072055230452e+35
8.005764494544111e+37,7.491828579019461e+32,1.216529651220158e+35
9.01917430389879e+37,9.051537914015603e+32,1.3715659747506431e+35
1.0160866607997868e+38,1.102057659845431e+33,1.5464481792774724e+35
1.1447080048214214e+38,1.3773571024499333e+33,1.743759007351546e+35
1.289610883456363e+38,1.7992874082914124e+33,1.9664762888232526e+35
1.4528562949890002e+38,2.5254670765618825e+33,2.218086335129781e+35
1.6367661292000792e+38,3.832679979766039e+33,2.5027902399879268e+35
1.8439561923203787e+38,6.18112067804222e+33,2.825771458363243e+35
2.077373412448609e+38,1.0288646208056688e+34,3.193609760758394e+35
2.3403377546176453e+38,1.7204803073250876e+34,3.6148228385494674e+35
2.6365894416800036e+38,2.8359692553174196e+34,4.100572269307373e+35
2.970342152649757e+38,4.556960694680314e+34,4.6654724536785994e+35
3.3463429551572956e+38,7.101810604296142e+34,5.328527398943225e+35
3.769939824454716e+38,1.072474423901636e+35,6.114126841067853e+35
4.24715770931542e+38,1.5720052421795254e+35,7.053217726270728e+35
4.784784226736688e+38,2.243506207149892e+35,8.184651744575197e+35
5.3904662043073534e+38,3.1290325123809393e+35,9.55715984374226e+35
6.0728184433924256e+38,4.2806922798499726e+35,1.1231333251032572e+36
6.841546250106947e+38,5.763924924622569e+35,1.3283100590981484e+36
7.707583476874872e+38,7.661608883645422e+35,1.5807018583901545e+36
