number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
7.1062231400048955e+37,6.672832332990902e+32,1.0781823158854403e+35
8.005764494544111e+37,8.107321505866704e+32,1.2155963108171573e+35
9.01917430389879e+37,1.0064585945182464e+33,1.3706159417443345e+35
1.0160866607997868e+38,1.2707462793416416e+33,1.545543230541747e+35
1.1447080048214214e+38,1.6545216319884845e+33,1.7430168066706463e+35
1.289610883456363e+38,2.2353027034864827e+33,1.9660833731151697e+35
1.4528562949890002e+38,3.1842906769250484e+33,2.2183263695388623e+35
1.6367661292000792e+38,4.782106513990144e+33,2.5040669592266734e+35
1.8439561923203787e+38,7.474600708508073e+33,2.8286232426649067e+35
2.077373412448609e+38,1.1940994187957022e+34,3.198681395703944e+35
2.3403377546176453e+38,1.916825615577735e+34,3.622831001260728e+35
2.6365894416800036e+38,3.0514010032970417e+34,4.1122123859117104e+35
2.970342152649757e+38,4.773958603756354e+34,4.681344026887875e+35
3.3463429551572956e+38,7.302153193139979e+34,5.3490667931746755e+35
3.769939824454716e+38,1.0895565800376718e+35,6.1396460273353736e+35
4.24715770931542e+38,1.5859144314669162e+35,7.083908830331658e+35
4.784784226736688e+38,2.2553396373299036e+35,8.220835975623007e+35
5.3904662043073534e+38,3.1411540374400536e+35,9.599436875765667e+35
6.0728184433924256e+38,4.296448723896692e+35,1.1280666704574405e+36
6.841546250106947e+38,5.787317430778279e+35,1.3341097631442617e+36
7.707583476874872e+38,7.696902967685348e+35,1.5875965574977418e+36
