number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
7.1062231400048955e+37,6.431245169753958e+32,1.0778932719672362e+35
8.005764494544111e+37,8.05526963728867e+32,1.2152499572115854e+35
9.01917430389879e+37,1.027662784270123e+33,1.3702333769532015e+35
1.0160866607997868e+38,1.3277191296404166e+33,1.5451604281237628e+35
1.1447080048214214e+38,1.7516217706268649e+33,1.7426818460473413e+35
1.289610883456363e+38,2.361834495494306e+33,1.9658507045794396e+35
1.4528562949890002e+38,3.3020129289455885e+33,2.2182250510772287e+35
1.6367661292000792e+38,4.8082082371791e+33,2.504055540736721e+35
1.8439561923203787e+38,7.255861405629931e+33,2.8285121107323e+35
2.077373412448609e+38,1.122431252735026e+34,3.1980074805649535e+35
2.3403377546176453e+38,1.757274105337316e+34,3.62066515438835e+35
2.6365894416800036e+38,2.7513773300608266e+34,4.106944567998901e+35
2.970342152649757e+38,4.266814073197576e+34,4.670401871514149e+35
3.3463429551572956e+38,6.509546548890989e+34,5.32863476755284e+35
3.769939824454716e+38,9.730524068711598e+34,6.104373508038971e+35
4.24715770931542e+38,1.4227856045356276e+35,7.026642117153846e+35
4.784784226736688e+38,2.03538254125948e+35,8.132303427372927e+35
5.3904662043073534e+38,2.8528774358383866e+35,9.467662160119884e+35
6.0728184433924256e+38,3.926248149970582e+35,1.1090867579187452e+36
6.841546250106947e+38,5.318398842212089e+35,1.3074411690791276e+36
7.707583476874872e+38,7.107908719574054e+35,1.5509013377537492e+36
8.683248037980578e+38,9.393897443485582e+35,1.8507905122682313e+36
