number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
8.005764494544111e+37,8.438370402532787e+32,1.2101850694970054e+35
9.01917430389879e+37,1.2524193190672292e+33,1.3646810686193404e+35
1.0160866607997868e+38,1.8461093076327585e+33,1.5393600957224785e+35
1.1447080048214214e+38,2.702643613933859e+33,1.7370558046635956e+35
1.289610883456363e+38,3.928709694406882e+33,1.961077206680536e+35
1.4528562949890002e+38,5.610914597628799e+33,2.21528061854243e+35
1.6367661292000792e+38,7.958260437631817e+33,2.5041768026774618e+35
1.8439561923203787e+38,1.1262065700785978e+34,2.8331713769179956e+35
2.077373412448609e+38,1.592650043616503e+34,3.208788277137122e+35
2.3403377546176453e+38,2.2524257483098575e+34,3.6389818278149996e+35
2.6365894416800036e+38,3.1866305188258996e+34,4.133589579142061e+35
2.970342152649757e+38,4.509067541369557e+34,4.7049028390840966e+35
3.3463429551572956e+38,6.376852999398212e+34,5.368441496689687e+35
3.769939824454716e+38,9.001203237789304e+34,6.144088764260987e+35
4.24715770931542e+38,1.265611489786323e+35,7.057200240699492e+35
4.784784226736688e+38,1.7683458574268392e+35,8.140308244086309e+35
5.3904662043073534e+38,2.449682495640934e+35,9.434726561317022e+35
6.0728184433924256e+38,3.358869427339215e+35,1.0992807007063238e+36
6.841546250106947e+38,4.55487034710973e+35,1.288033421114417e+36
7.707583476874872e+38,6.109354996088736e+35,1.517962280904949e+36
8.683248037980578e+38,8.111015537376461e+35,1.7993375748917947e+36
