number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
6.307755786465548e+37,6.2664769843699416e+32,9.54275791674663e+34
7.1062231400048955e+37,9.001560292082886e+32,1.0760249803598406e+35
8.005764494544111e+37,1.2857638301589694e+33,1.213597579824332e+35
9.01917430389879e+37,1.8266415391275068e+33,1.3691654908469004e+35
1.0160866607997868e+38,2.5817353691050195e+33,1.5452360596849511e+35
1.1447080048214214e+38,3.624930872460217e+33,1.744721494189489e+35
1.289610883456363e+38,5.0030007829149994e+33,1.9709781389626423e+35
1.4528562949890002e+38,6.890561126869705e+33,2.2279137281317404e+35
1.6367661292000792e+38,9.54523289049268e+33,2.5202029189387072e+35
1.8439561923203787e+38,1.339434296530899e+34,2.8535369766719725e+35
2.077373412448609e+38,1.9190054737119048e+34,3.2350410876896166e+35
2.3403377546176453e+38,2.8260913988577604e+34,3.6740230643791626e+35
2.6365894416800036e+38,4.277420374698421e+34,4.183161278537177e+35
2.970342152649757e+38,6.568276286120604e+34,4.7799897485341435e+35
3.3463429551572956e+38,1.0018831099530198e+35,5.488216220590099e+35
3.769939824454716e+38,1.4929474107210995e+35,6.338568981916557e+35
4.24715770931542e+38,2.160168544149793e+35,7.369252800239107e+35
4.784784226736688e+38,3.0393216000679924e+35,8.627620569965938e+35
5.3904662043073534e+38,4.176429582781868e+35,1.0172036574646038e+36
6.0728184433924256e+38,5.631357729000476e+35,1.2074854141309812e+36
6.841546250106947e+38,7.481346211292621e+35,1.4426337345260913e+36
7.707583476874872e+38,9.825162230933548e+35,1.7339077802436508e+36
