number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
6.307755786465548e+37,6.1051734532577264e+32,9.55244269304822e+34
7.1062231400048955e+37,8.747321652309347e+32,1.0770904459618734e+35
8.005764494544111e+37,1.2487181877587534e+33,1.214759425026238e+35
9.01917430389879e+37,1.7752260736632005e+33,1.3704174212000969e+35
1.0160866607997868e+38,2.51231732816866e+33,1.546570574479314e+35
1.1447080048214214e+38,3.5229433764131646e+33,1.746122056305684e+35
1.289610883456363e+38,4.8587356266208293e+33,1.9724011442614905e+35
1.4528562949890002e+38,6.683874959719264e+33,2.229297061516749e+35
1.6367661292000792e+38,9.217365569266408e+33,2.5214364984303328e+35
1.8439561923203787e+38,1.2783326379276252e+34,2.854360177095132e+35
2.077373412448609e+38,1.7868068999892285e+34,3.234824304801294e+35
2.3403377546176453e+38,2.5188387682004077e+34,3.671179994637413e+35
2.6365894416800036e+38,3.5745838590208973e+34,4.173927693209009e+35
2.970342152649757e+38,5.082082634570778e+34,4.7563329561815835e+35
3.3463429551572956e+38,7.187683017820421e+34,5.435093339112034e+35
3.769939824454716e+38,1.0040730288923515e+35,6.2309129816269626e+35
4.24715770931542e+38,1.3782230908792986e+35,7.168968772799261e+35
4.784784226736688e+38,1.8545404775045568e+35,8.279305587776742e+35
5.3904662043073534e+38,2.446464775584656e+35,9.597563563821584e+35
6.0728184433924256e+38,3.1686739517272743e+35,1.1165431376910382e+36
6.841546250106947e+38,4.038108343972864e+35,1.3032251692115496e+36
7.707583476874872e+38,5.074768613742496e+35,1.5255526961299088e+36
8.683248037980578e+38,6.302400466764475e+35,1.790307800936887e+36
9.782417111058635e+38,7.749094376765571e+35,2.105430724875424e+36
