number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
6.307755786465548e+37,6.148524587820632e+32,9.563713983744307e+34
7.1062231400048955e+37,8.377927375185115e+32,1.078341955787588e+35
8.005764494544111e+37,1.1508977396982772e+33,1.216087524937848e+35
9.01917430389879e+37,1.578516118780789e+33,1.371735167181281e+35
1.0160866607997868e+38,2.1609224598969643e+33,1.5477169497972177e+35
1.1447080048214214e+38,2.9325265726912177e+33,1.746829179515053e+35
1.289610883456363e+38,3.946874688618216e+33,1.9722603114086977e+35
1.4528562949890002e+38,5.333421584673969e+33,2.227729578329801e+35
1.6367661292000792e+38,7.270502346671429e+33,2.5176093329861083e+35
1.8439561923203787e+38,1.0028380882291964e+34,2.847109676118992e+35
2.077373412448609e+38,1.4016176380356197e+34,3.2225217711645553e+35
2.3403377546176453e+38,1.984302886892303e+34,3.6515656093182406e+35
2.6365894416800036e+38,2.8388326314673724e+34,4.143874558390335e+35
2.970342152649757e+38,4.087180807186968e+34,4.711617734529592e+35
3.3463429551572956e+38,5.891659343188474e+34,5.370286631920286e+35
3.769939824454716e+38,8.459977180469389e+34,6.139649813959162e+35
4.24715770931542e+38,1.2049970570593935e+35,7.044966128396997e+35
4.784784226736688e+38,1.6976757023014565e+35,8.118249227482366e+35
5.3904662043073534e+38,2.3624116783987467e+35,9.399995048887454e+35
6.0728184433924256e+38,3.246197742475789e+35,1.0941187290075272e+36
6.841546250106947e+38,4.4071890318263555e+35,1.2805863637438315e+36
7.707583476874872e+38,5.9179009974689186e+35,1.5074351566847918e+36
8.683248037980578e+38,7.869496025980536e+35,1.7847488542089606e+36
