number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
7.1062231400048955e+37,8.616114276758061e+32,1.0754605074412136e+35
8.005764494544111e+37,1.2352183689453667e+33,1.212904615497996e+35
9.01917430389879e+37,1.7645163693309626e+33,1.3683131195618823e+35
1.0160866607997868e+38,2.509186322232116e+33,1.544190788882448e+35
1.1447080048214214e+38,3.536505777740056e+33,1.743444849281912e+35
1.289610883456363e+38,4.8957086660709835e+33,1.969416468004807e+35
1.4528562949890002e+38,6.745104361562941e+33,2.2259984187275355e+35
1.6367661292000792e+38,9.285130777469182e+33,2.5178032653069293e+35
1.8439561923203787e+38,1.279344835466577e+34,2.850330641863806e+35
2.077373412448609e+38,1.7659881943644298e+34,3.2301840069428824e+35
2.3403377546176453e+38,2.4427836286450704e+34,3.665393237497347e+35
2.6365894416800036e+38,3.383536840536352e+34,4.165812633615796e+35
2.970342152649757e+38,4.683881405192107e+34,4.743602670121066e+35
3.3463429551572956e+38,6.460173166528246e+34,5.413816230680255e+35
3.769939824454716e+38,8.844144729668993e+34,6.194976843599318e+35
4.24715770931542e+38,1.1975017270858089e+35,7.109677268286422e+35
4.784784226736688e+38,1.599420672428838e+35,8.185139845581082e+35
5.3904662043073534e+38,2.10449936928916e+35,9.453910610527544e+35
6.0728184433924256e+38,2.727778793490342e+35,1.0954391741156068e+36
6.841546250106947e+38,3.485752513056662e+35,1.2731784886754788e+36
7.707583476874872e+38,4.397217985425616e+35,1.4839578504217192e+36
8.683248037980578e+38,5.484093467260938e+35,1.7340041134095884e+36
9.782417111058635e+38,6.772090064179471e+35,2.030691244077544e+36
1.102072451646657e+39,8.291540177981714e+35,2.3826272670746157e+36
