number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
8.005764494544111e+37,7.209495430437626e+32,1.2158201556594311e+35
9.01917430389879e+37,9.76131989370564e+32,1.3707873623260456e+35
1.0160866607997868e+38,1.3366786421453574e+33,1.5457542219845633e+35
1.1447080048214214e+38,1.845070848308852e+33,1.7434134050071273e+35
1.289610883456363e+38,2.538634928231774e+33,1.966845874447034e+35
1.4528562949890002e+38,3.5050883246351975e+33,2.2195977987609785e+35
1.6367661292000792e+38,4.8695204526730445e+33,2.5057983739712823e+35
1.8439561923203787e+38,6.80818374236292e+33,2.830289139772339e+35
2.077373412448609e+38,9.5778701952977e+33,3.1987929749839858e+35
2.3403377546176453e+38,1.355524065090962e+34,3.618150805722909e+35
2.6365894416800036e+38,1.9288235896435064e+34,4.0966495596595806e+35
2.970342152649757e+38,2.755903766672507e+34,4.644452471963258e+35
3.3463429551572956e+38,3.945896690152939e+34,5.274183871408922e+35
3.769939824454716e+38,5.646766521411121e+34,6.001685727294791e+35
4.24715770931542e+38,8.053542555165333e+34,6.846971348602943e+35
4.784784226736688e+38,1.1416585297466417e+35,7.83533997798502e+35
5.3904662043073534e+38,1.6050345337047255e+35,8.998893246435775e+35
6.0728184433924256e+38,2.2344169070368628e+35,1.037824150034014e+36
6.841546250106947e+38,3.0776196416783415e+35,1.202457515592514e+36
7.707583476874872e+38,4.193315281549025e+35,1.4002254899131004e+36
8.683248037980578e+38,5.653816016448076e+35,1.639213571834309e+36
9.782417111058635e+38,7.548773502172424e+35,1.9295245001262044e+36
1.102072451646657e+39,9.990027781323902e+35,2.2838282296374175e+36
