number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
8e+37,8.177366501999999e+32,1.2154618133999998e+35
8.227861145917816e+37,8.736541931746706e+32,1.2503199994585811e+35
8.462212379563008e+37,9.330494471784474e+32,1.286184825483862e+35
8.703238555788904e+37,9.97640847015174e+32,1.3230923016641575e+35
8.951129794603675e+37,1.0675631094100752e+33,1.36107241152408e+35
9.206081631135866e+37,1.14266861151947e+33,1.4001541572117308e+35
9.468295169871314e+37,1.224904781703128e+33,1.440375806511642e+35
9.73797724328319e+37,1.3127145480689028e+33,1.4817659457091297e+35
1.0015340574980207e+38,1.4094161239100136e+33,1.524385054785808e+35
1.0300603947501732e+38,1.512574674360258e+33,1.5682431562882774e+35
1.0593992374892147e+38,1.626059794173566e+33,1.6133913296837562e+35
1.0895737280190593e+38,1.7474612896272234e+33,1.659838641045608e+35
1.1206076677976056e+38,1.8803083040932933e+33,1.7075512055898135e+35
1.1525255362111876e+38,2.0233649417856075e+33,1.7566888038073584e+35
1.185352509883766e+38,2.179212963800194e+33,1.807344086300742e+35
1.2191144825361008e+38,2.3468469679539e+33,1.85944270230996e+35
1.2538380854105608e+38,2.5265698481113188e+33,1.913035443114205e+35
1.2895507082776925e+38,2.72078198959374e+33,1.9683215067856414e+35
1.3262805210411036e+38,2.9295202341152897e+33,2.025212208515679e+35
1.3640564959577167e+38,3.1550516131081147e+33,2.0837229853090433e+35
1.4029084304909127e+38,3.399945109332073e+33,2.144070382239209e+35
1.442866970814591e+38,3.6641911651992823e+33,2.2061853860026988e+35
1.4839636359866889e+38,3.9496914175080587e+33,2.27007696240652e+35
1.5262308428112262e+38,4.260771785307797e+33,2.3358843188946286e+35
1.569701931408486e+38,4.597195568896733e+33,2.4037334370542353e+35
1.6144111915135049e+38,4.961304150168852e+33,2.4736102286732833e+35
1.6603938895236068e+38,5.355629069713685e+33,2.5454953445106704e+35
1.7076862963163306e+38,5.78367753340075e+33,2.6195389778515288e+35
1.7563257158596797e+38,6.247920954430836e+33,2.695811017350371e+35
1.8063505146372692e+38,6.751529827926454e+33,2.7743741059328166e+35
1.8578001519115805e+38,7.297761160919103e+33,2.8553898222214415e+35
1.9107152108491887e+38,7.890137260677105e+33,2.9389076552278943e+35
1.9651374305325265e+38,8.532612886267729e+33,3.0250172555990525e+35
2.0211097388834178e+38,9.229453921159264e+33,3.1137522114564935e+35
2.0786762865243727e+38,9.98532914942558e+33,3.2051496370548515e+35
2.1378824816043277e+38,1.080530522711435e+34,3.299417589551046e+35
2.1987750256163263e+38,1.1694576124461655e+34,3.396635768169407e+35
2.261401950235378e+38,1.265891049042256e+34,3.496902474201061e+35
2.3258126552055553e+38,1.3703317681718222e+34,3.600104825604636e+35
2.392057947306218e+38,1.483648152981481e+34,3.706694672731235e+35
2.4601900804280943e+38,1.606668965335855e+34,3.8166439519425106e+35
2.530262796790844e+38,1.7401018287387277e+34,3.9301403718590154e+35
2.6023313693345917e+38,1.884736461536001e+34,4.047220584112058e+35
2.6764526453188997e+38,2.0414247454067356e+34,4.168158674532956e+35
2.7526850911635418e+38,2.211549071319254e+34,4.2929245564966425e+35
2.8310888385664687e+38,2.3958343080113856e+34,4.42182308454541e+35
2.9117257319353307e+38,2.595469370766671e+34,4.554837092001688e+35
2.9946593771699782e+38,2.8119112009385835e+34,4.692119575881617e+35
3.0799551918344148e+38,3.046257694262884e+34,4.834156357426268e+35
3.1676804567577797e+38,3.300721161316824e+34,4.980853865381965e+35
3.2579043691050676e+38,3.5761528267902644e+34,5.132505192237784e+35
3.3506980969594355e+38,3.874718464916227e+34,5.289372108803648e+35
3.4461348354591635e+38,4.198048629409417e+34,5.451604203726076e+35
3.544289864533544e+38,4.548302490548033e+34,5.6192199329210934e+35
3.6452406082832334e+38,4.9272996584756705e+34,5.7927419144118384e+35
3.749066696051931e+38,5.338408190822314e+34,5.972252409202266e+35
3.85585002523752e+38,5.783501467438878e+34,6.1583067998333185e+35
3.9656748258922535e+38,6.265532024446119e+34,6.350912079258899e+35
4.0786277271629105e+38,6.787434673356881e+34,6.550391283986837e+35
4.19479782562335e+38,7.35201016627653e+34,6.756929138960067e+35
4.3142767555533634e+38,7.963706197533563e+34,6.971183071184377e+35
4.437158761219238e+38,8.626035744620223e+34,7.193370289131728e+35
4.563540771213075e+38,9.342838278490431e+34,7.423823233439415e+35
4.693522474909487e+38,1.0119255976282986e+35,7.663091727234612e+35
4.827206401099974e+38,1.0958761520075998e+35,7.911251891997875e+35
4.964697998867032e+38,1.1868016186423804e+35,8.169082555576132e+35
5.10610572076175e+38,1.2852413653918137e+35,8.436986533127489e+35
5.2515411083505355e+38,1.3917391374148063e+35,8.715407907695777e+35
5.4011188801984456e+38,1.5069905196878148e+35,9.004832425055407e+35
5.554957022358493e+38,1.6316897093329922e+35,9.306027227985208e+35
5.713176881438347e+38,1.7667018933504708e+35,9.619503467786815e+35
5.8759032603178126e+38,1.912859299070819e+35,9.945777041968918e+35
6.0432645165925934e+38,2.0708382743410092e+35,1.0285697138071524e+36
6.2153926638220006e+38,2.2420549408819727e+35,1.063998889956106e+36
6.3924234756604626e+38,2.427145354606046e+35,1.1009616164641282e+36
6.5744965929549565e+38,2.627522396493493e+35,1.139512817445639e+36
6.761755633892895e+38,2.844341303226551e+35,1.1797521117424514e+36
6.95434830728728e+38,3.07896274630609e+35,1.221784176358794e+36
7.152426529088546e+38,3.3330095297000356e+35,1.265718833904356e+36
7.356146542214935e+38,3.607693141140888e+35,1.311635248975121e+36
7.565669039795995e+38,3.905089759900513e+35,1.359688523857284e+36
7.781159291926353e+38,4.226955290558009e+35,1.4100020568676832e+36
8.002787276029781e+38,4.575184452327661e+35,1.462669870723868e+36
8.230727810936363e+38,4.9522839751546856e+35,1.5179063605762187e+36
8.465160694778563e+38,5.360159493029313e+35,1.5758002007493588e+36
8.706270846814905e+38,5.8018810468708334e+35,1.6365467762786913e+36
8.95424845329317e+38,6.27976150116105e+35,1.7004214703393778e+36
9.2092891174682e+38,6.797138586863462e+35,1.7673819304656365e+36
9.471594013892546e+38,7.357159957128393e+35,1.837944706964545e+36
9.741370047101783e+38,7.96311041940158e+35,1.91206078400748e+36
1.0018830014819547e+39,8.618483946313143e+35,1.990036495006143e+36
1.0304192775811123e+39,9.328401527616782e+35,2.0721943697653945e+36
