number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
9.999999999999999e+31,3.3652589265e+25,1.4901191811995715e+29
1.0875735972969169e+32,3.7692713821056214e+25,1.620645365068048e+29
1.1828163295373563e+32,4.220772713771991e+25,1.7626052615757283e+29
1.2863998104564781e+32,4.726079857737366e+25,1.9170028554197353e+29
1.399054469420224e+32,5.290858799505827e+25,2.0849260683750687e+29
1.5215747021216824e+32,5.922035868195753e+25,2.267559241532096e+29
1.6548244723424627e+32,6.628155526482281e+25,2.4661920786247796e+29
1.799743404280465e+32,7.4168110455842125e+25,2.6822271407958416e+29
1.9573534084047042e+32,8.29876507462004e+25,2.917187365567889e+29
2.128765887560086e+32,9.284156936844636e+25,3.172733427982794e+29
2.3151895741366863e+32,1.0384774820736212e+26,3.4506656580359715e+29
2.5179390535681536e+32,1.1615238558552063e+26,3.7529503507481415e+29
2.7384440342635105e+32,1.298869873591978e+26,4.081716780049342e+29
2.978259429340248e+32,1.452438365932078e+26,4.43928804262191e+29
3.2390763212510367e+32,1.623760832330278e+26,4.8281860365120106e+29
3.522733886622254e+32,1.815212936207435e+26,5.251158511531001e+29
3.831232365393514e+32,2.0291234445711875e+26,5.711189622909017e+29
4.166747165711401e+32,2.267642817691082e+26,6.21152641245783e+29
4.53164420403948e+32,2.5342763912625867e+26,6.755703108289505e+29
4.928496588656941e+32,2.8317267093707338e+26,7.347558678348849e+29
5.3601027641912134e+32,3.1639081113136536e+26,7.991273255492786e+29
5.829506245132586e+32,3.5343755960483594e+26,8.691390037267533e+29
6.340017077483689e+32,3.948079748166522e+26,9.452854026814524e+29
6.895235179882821e+32,4.410091710136684e+26,1.0281039324711175e+30
7.499075728793413e+32,4.924530308596416e+26,1.1181794843578855e+30
8.155796766765853e+32,5.499264398652633e+26,1.2161480511682298e+30
8.870029228454101e+32,6.1402367731413445e+26,1.322701502579448e+30
9.646809596118624e+32,6.855104100386097e+26,1.4385918935080912e+30
1.049161541488915e+33,7.652498739362012e+26,1.5646374597085533e+30
1.1410403918226779e+33,8.541745056349648e+26,1.7017299593333605e+30
1.2409654035956732e+33,9.532870849355868e+26,1.8508351342394412e+30
1.3496412081095668e+33,1.0638742580921809e+27,2.0130075750902233e+30
1.4678341437638784e+33,1.1870841192805134e+27,2.1893935539588283e+30
1.5963776599685212e+33,1.324428237618883e+27,2.3812352713397164e+30
1.736178194296399e+33,1.4776208234385424e+27,2.589891797234069e+30
1.8882215643194004e+33,1.6482802259573892e+27,2.816834286730145e+30
2.053579919200462e+33,1.8383116710817134e+27,3.0636675776764916e+30
2.2334193000615583e+33,2.0502232601850731e+27,3.3321342650543046e+30
2.4290078624403108e+33,2.2861892187706694e+27,3.624130086255063e+30
2.641724818816704e+33,2.549049739308731e+27,3.941719304971724e+30
2.8730701642690283e+33,2.8418727288291027e+27,4.287145469449054e+30
3.1246752538405114e+33,3.168042511816051e+27,4.6628496141886125e+30
3.398314306203982e+33,3.5308272256654813e+27,5.071484993809146e+30
3.6959169147438413e+33,3.935100725647418e+27,5.515940826522785e+30
4.0195816542784815e+33,4.3851676905634556e+27,5.999354693585773e+30
4.3715908793723415e+33,4.885569509490363e+27,6.525146857710513e+30
4.7544268185893686e+33,5.442961339780672e+27,7.097028310191312e+30
5.170789078178177e+33,6.062860849614253e+27,7.719043410860689e+30
5.623613678617848e+33,6.75241871704868e+27,8.39558902592764e+30
6.116093758262561e+33,7.520032190745291e+27,9.131445035436579e+30
6.651702090078833e+33,8.372676608848008e+27,9.93181488398177e+30
7.234215570254459e+33,9.321696179757846e+27,1.0802353187596527e+31
7.867741851363008e+33,1.037652325837852e+28,1.1749216380969213e+31
8.55674830789037e+33,1.154862103040243e+28,1.2779097237076018e+31
9.306093538376637e+33,1.2851727640939367e+28,1.38992768206365e+31
1.0121061626313874e+34,1.4299436396452342e+28,1.5117673778605338e+31
1.1007399401393965e+34,1.590801397268387e+28,1.644290738603308e+31
1.1971356963857962e+34,1.7695643597172966e+28,1.7884339098440933e+31
1.3019731757708501e+34,1.9679824935334016e+28,1.945216797706804e+31
1.4159916503571944e+34,2.1883129622668123e+28,2.115749010918788e+31
1.539995132921372e+34,2.43269000318499e+28,2.3012345043841243e+31
1.674858046531041e+34,2.7041979632257405e+28,2.5029873070079324e+31
1.8215313906274509e+34,3.0054796040471e+28,2.722432814735583e+31
1.9810494470939523e+34,3.339557699460685e+28,2.9611242399469215e+31
2.1545370735990383e+34,3.710201089551264e+28,3.220749793725612e+31
2.343217635643678e+34,4.121008353914052e+28,3.5031452843303246e+31
2.5484216332465713e+34,4.576681825146797e+28,3.8103090581394895e+31
2.771596083099258e+34,5.0820272893865685e+28,4.144414027959893e+31
3.0143147223503043e+34,5.641694255013955e+28,4.507825182081068e+31
3.2782891059715785e+34,6.261425218724405e+28,4.903113592333678e+31
3.565380675960802e+34,6.9481645011375505e+28,5.33307567947776e+31
3.8776138874876034e+34,7.708995203906135e+28,5.800755429465651e+31
4.217190484543376e+34,8.55007815459177e+28,6.30946122650457e+31
4.586505025761166e+34,9.481328162658356e+28,6.862793496350665e+31
4.98816176988746e+34,1.0512405749551636e+29,7.464669697016709e+31
5.424993039975462e+34,1.1652203185432817e+29,8.119349592947944e+31
5.900079195796849e+34,1.2911889666149198e+29,8.831467493833504e+31
6.416770355309481e+34,1.4303782165650417e+29,9.606064098758619e+31
6.978710018352147e+34,1.5842883526846828e+29,1.0448623015284606e+32
7.589860759151277e+34,1.7544514091700908e+29,1.136511182075897e+32
8.254532168812863e+34,1.942049170395209e+29,1.2362017204825167e+32
8.977411244838928e+34,2.1492554913020686e+29,1.3446399124262672e+32
9.763595441963264e+34,2.377940872213945e+29,1.4625936002045433e+32
1.061862861736777e+35,2.6302175404625405e+29,1.5908975091629882e+32
1.1548540123750653e+35,2.90825174583921e+29,1.7304603511688035e+32
1.2559887325915279e+35,3.2149882098466025e+29,1.88227416661527e+32
1.3659801840689634e+35,3.5524976144448376e+29,2.0474075027119238e+32
1.4856039826241873e+35,3.924494542967722e+29,2.2270356472978738e+32
1.6157036675412138e+35,4.334158015695301e+29,2.4224275316070314e+32
1.7571966498736197e+35,4.785006084070441e+29,2.634967902684652e+32
1.9110806816611434e+35,5.280857153959043e+29,2.8661633614379887e+32
2.0784408916788535e+35,5.825735637898071e+29,3.1176527683929976e+32
2.2604574373321826e+35,6.424663090846376e+29,3.391213786464003e+32
2.4584138266559326e+35,7.082686573934533e+29,3.688788865338775e+32
2.673705969100671e+35,7.80500570614294e+29,4.0124833555673205e+32
2.9078520189290565e+35,8.597916670511203e+29,4.364592010832272e+32
3.1625030806337764e+35,9.467268417113536e+29,4.747609803829084e+32
3.439454851867458e+35,1.0059520108333339e+30,5.164201453148923e+32
3.740660285985826e+35,1.0309170926015338e+30,5.617339281543505e+32
4.0682433634953185e+35,1.0695389846345183e+30,6.110218868748497e+32
4.424514069515913e+35,1.1079385220553813e+30,6.646298972721346e+32
4.8119846828742425e+35,1.1484106329579616e+30,7.229361034119338e+32
5.233387491691203e+35,1.1913178127519396e+30,7.863522093858062e+32
5.691694060387291e+35,1.2363615946018189e+30,8.553258240382503e+32
6.1901361839689004e+35,1.2857325950486486e+30,9.303439435343464e+32
6.732228677356867e+35,1.3388288024270287e+30,1.0119363438516866e+33
7.321794160458473e+35,1.3966072308981652e+30,1.1006789742730474e+33
7.962990013757383e+35,1.4595580384239004e+30,1.1971985950835249e+33
8.660337694501542e+35,1.528826339793345e+30,1.3021765302265886e+33
9.41875462021513e+35,1.6040723708037633e+30,1.416354179188931e+33
1.0243588844364325e+36,1.6870040031434294e+30,1.54053789159797e+33
1.1140656768695877e+36,1.7775040903789594e+30,1.6756050345506667e+33
1.2116284158180821e+36,1.8764430550744314e+30,1.8225077350076222e+33
1.3177350747784365e+36,1.985835310011837e+30,1.9822844564044673e+33
1.4331338755611056e+36,2.1056792805885734e+30,2.1560644883287507e+33
1.5586385644520637e+36,2.2368864265255469e+30,2.345073679761462e+33
1.6951341504268335e+36,2.380408571050586e+30,2.5506484226887187e+33
1.8435831458805645e+36,2.537582733662913e+30,2.7742381838308244e+33
2.0050323538812922e+36,2.710479471526636e+30,3.0174238267560315e+33
2.180620249807382e+36,2.8991816666160606e+30,3.2819197867161765e+33
2.371585009421516e+36,3.1046554786710843e+30,3.569598073614072e+33
2.579273239992e+36,3.329662933437634e+30,3.8824881376104644e+33
2.805149476029774e+36,3.575023779850673e+30,4.222800590105828e+33
3.050806506601262e+36,3.842040369083299e+30,4.5929368958057575e+33
3.3179766070411756e+36,4.132293127063818e+30,4.995512264152219e+33
3.608543754266791e+36,4.4476826939719683e+30,5.433369454042443e+33
3.9245569118312553e+36,4.78983360168869e+30,5.909600865540671e+33
4.2682444783967966e+36,5.159316042424127e+30,6.427567968698682e+33
4.642030001512707e+36,5.560103525153842e+30,6.990929409798013e+33
5.0485492675053875e+36,5.993742740854697e+30,7.603663014318367e+33
5.49066888799155e+36,6.461526180653709e+30,8.270096401743346e+33
5.971506514079232e+36,6.968370773460919e+30,8.994932881221029e+33
6.494452820799122e+36,7.515250402330059e+30,9.783295355287664e+33
7.06319541679161e+36,8.108052666327132e+30,1.0640744695917886e+34
7.681744847851148e+36,8.752029097445166e+30,1.1573339809116043e+34
8.354462877694531e+36,9.454229661535771e+30,1.2587664004208634e+34
9.086093245377793e+36,1.0223695862284364e+31,1.3690881828429644e+34
9.881795116250744e+36,1.1070949425159362e+31,1.4890781846728446e+34
1.0747179462331928e+37,1.2016545214360084e+31,1.619584727638681e+34
1.168834862864388e+37,1.3079021417751366e+31,1.7615282159369074e+34
1.271193936451471e+37,1.4289066329920667e+31,1.9159116110873924e+34
1.3825169623285547e+37,1.5686462467165212e+31,2.0838269093934275e+34
1.5035889460436724e+37,1.7323524031067179e+31,2.266460051101571e+34
1.6352636389045968e+37,1.926919699036955e+31,2.4651027336706965e+34
1.7784695582923192e+37,2.1615979611591192e+31,2.6811618410973245e+34
1.9342165351950366e+37,2.4487366331307297e+31,2.916163778957187e+34
2.1036028351332439e+37,2.8041210739475543e+31,3.1717730420971423e+34
2.2878229026898557e+37,3.2335560298667007e+31,3.4498219870016034e+34
2.4881757842566807e+37,3.331759581286597e+31,3.752838725220365e+34
2.7060742883911154e+37,3.4047475280657396e+31,4.0825568885864375e+34
2.94305494837822e+37,3.4441295972807143e+31,4.441345010777311e+34
3.2007888572501933e+37,4.101847156002333e+31,4.830883024371395e+34
3.48109345166748e+37,5.104401665094738e+31,5.2543403498278405e+34
3.7859453277567424e+37,6.312366718944343e+31,5.71495439551922e+34
4.1174941792778555e+37,7.992294788696585e+31,6.216044151312164e+34
4.478077956406334e+37,1.0514693168218732e+32,6.761239160065551e+34
4.870239352024862e+37,1.3591166951585374e+32,7.354331263893186e+34
