number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
8.431261985012983e+37,8.55123508231135e+32,1.280776234370395e+35
9.695986175587466e+37,1.2597865523786732e+33,1.4744294862286735e+35
1.1150424228815908e+38,1.788561882165193e+33,1.6978498642356927e+35
1.282303400922823e+38,2.59384101866014e+33,1.9557627192793218e+35
1.4746542178806867e+38,3.8699576396490945e+33,2.2538843967504123e+35
1.6958584534271087e+38,5.960280599190203e+33,2.5991741135482716e+35
1.9502442397603983e+38,9.460353430376988e+33,3.0003368765979044e+35
2.242788946820609e+38,1.5342276031175286e+34,3.468527842170913e+35
2.579216570637677e+38,2.5099814838345074e+34,4.018386981344463e+35
2.9661097303348148e+38,4.0896684236004047e+34,4.669457113023414e+35
3.411038465145921e+38,6.439695493861773e+34,5.447871599327376e+35
3.922708351518629e+38,8.58119225351587e+34,6.376596452673762e+35
4.511130838395784e+38,1.1545951239841934e+35,7.482221260133927e+35
5.187819133494104e+38,1.5690305385227064e+35,8.806468149656631e+35
5.966013473335276e+38,2.1374659257888814e+35,1.0402274131643249e+36
6.860940184714037e+38,2.912779512847171e+35,1.2336679530213688e+36
7.890109606458562e+38,3.976594908272061e+35,1.4698439958444003e+36
9.073658700687888e+38,5.416874269310149e+35,1.7599908190880472e+36
1.0434745057175834e+39,7.35395854187238e+35,2.118732394075232e+36
1.200000000000009e+39,9.922142117771434e+35,2.5648786929460705e+36
