number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
4.148342004523027e+31,1.0245778015024502e+25,6.186520960391186e+28
4.668801692283851e+31,1.2039863929220786e+25,6.962817933681473e+28
5.254559343975505e+31,1.4159048879338816e+25,7.83654224638487e+28
5.913807379095176e+31,1.6647691348804718e+25,8.819924873997316e+28
6.655766055271255e+31,1.9544847021855745e+25,9.926724329671642e+28
7.490812422990846e+31,2.2968439112749636e+25,1.1172432516513717e+29
8.430625459257845e+31,2.695797457939974e+25,1.257445265424468e+29
9.48834941002412e+31,3.1634819545945115e+25,1.4152429854968527e+29
1.0678777625904683e+32,3.7158878952097627e+25,1.592846049232479e+29
1.2018559462307214e+32,4.35411461663761e+25,1.7927333571935526e+29
1.3526433137685752e+32,5.106858988688005e+25,2.01770973370839e+29
1.5223487806679234e+32,5.988176119051315e+25,2.270924669950697e+29
1.7133458513495622e+32,7.013056175167815e+25,2.555928947459017e+29
1.928305815076619e+32,8.2213378144292e+25,2.8767085440910487e+29
2.1702351066653798e+32,9.625365449868223e+25,3.237728607874943e+29
2.4425173545492574e+32,1.1269833617861814e+26,3.644071210279476e+29
2.7489607042810415e+32,1.320669052140883e+26,4.101430006491019e+29
3.0938510793409894e+32,1.5444135377709315e+26,4.616172500647255e+29
3.482012124157602e+32,1.8078490379971465e+26,5.195531498886088e+29
3.91887266770549e+32,2.1155589463140043e+26,5.8476167051676814e+29
4.410542651227723e+32,2.4731721218052877e+26,6.581557422101797e+29
4.96389858200945e+32,2.8940134394498945e+26,7.407639928166656e+29
5.5866797083611765e+32,3.3817444170954176e+26,8.337403047239311e+29
6.287596260917143e+32,3.95250018728896e+26,9.383882935919371e+29
7.076451274113991e+32,4.6229392473016334e+26,1.0561742245432955e+30
7.964277691647644e+32,5.397271396263891e+26,1.1887461122819535e+30
8.963492673468321e+32,6.307570680723054e+26,1.337963305658659e+30
1.0088071262454776e+33,7.368512625455034e+26,1.505913280605268e+30
1.1353741839673693e+33,8.600878276311199e+26,1.6949434981279882e+30
1.2778206101865836e+33,1.004880861148129e+27,1.9077083472832377e+30
1.438138663776893e+33,1.1722729199588809e+27,2.147190469601449e+30
1.6185705565885247e+33,1.3679587070179063e+27,2.4167461437279378e+30
1.821639813072787e+33,1.5971793824080177e+27,2.7201552202062046e+30
2.0501865643509665e+33,1.8617273043902055e+27,3.061639047798804e+30
2.307407270351128e+33,2.1722122836088228e+27,3.4460081111116214e+30
2.596899425567506e+33,2.533216833665778e+27,3.8786445995969314e+30
2.922711873698222e+33,2.952250100212387e+27,4.365601437806034e+30
3.2894014348629665e+33,3.443730521543944e+27,4.913719203093435e+30
3.7020966373901816e+33,4.010437368247557e+27,5.5306641213777e+30
4.1665694455279055e+33,4.6721230558884237e+27,6.225097674459554e+30
4.6893159862636613e+33,5.444864638420218e+27,7.006757728190446e+30
5.277647404300453e+33,6.335418730001694e+27,7.88656522685872e+30
5.939792115888609e+33,7.378402706527117e+27,8.876898742041059e+30
6.685010891637798e+33,8.587534381039276e+27,9.991606043283429e+30
7.523726377859999e+33,9.989374492002797e+27,1.1246324046833602e+31
8.467668867931794e+33,1.163004008462264e+28,1.2658694644447e+31
9.530040362437475e+33,1.3516071413250306e+28,1.424843037958811e+31
1.0725699212641787e+34,1.5714630962074265e+28,1.6037922863465589e+31
1.2071367929719972e+34,1.827335942434381e+28,1.8052281755861634e+31
1.3585867066169656e+34,2.1216056037131976e+28,2.0319572736174075e+31
1.5290378440475141e+34,2.4652686185858297e+28,2.287177097885437e+31
1.7208741386490127e+34,2.862137428858008e+28,2.574451474147417e+31
1.9367786170889292e+34,3.3213396941932304e+28,2.8978291386388566e+31
2.1797709241872544e+34,3.857185084875938e+28,3.261861838436515e+31
2.453249555735875e+34,4.470847728321557e+28,3.6716190636303435e+31
2.7610393899360286e+34,5.1844883308497695e+28,4.132873826053337e+31
3.107445182229585e+34,6.01151270037019e+28,4.6520883170592565e+31
3.497311771704056e+34,6.959957438471852e+28,5.236551703311392e+31
3.9360918411194346e+34,8.06339630574687e+28,5.894501923197588e+31
4.429922178250109e+34,9.331288101092046e+28,6.635112568505685e+31
4.9857095051346705e+34,1.079357071485318e+29,7.468818500366763e+31
5.611227075643401e+34,1.249267189493606e+29,8.407374297874344e+31
6.315223392379159e+34,1.4428674546106086e+29,9.46381439460813e+31
7.107544563428655e+34,1.6671872849878025e+29,1.0653111404751505e+32
7.9992720102483515e+34,1.9257098544927155e+29,1.1991942778320393e+32
9.002877452670509e+34,2.2209806183865214e+29,1.3499037641129046e+32
1.0132397338653148e+35,2.562701848019932e+29,1.5195708764553843e+32
1.1403629158352248e+35,2.952821560657274e+29,1.710559312723867e+32
1.2834352388169133e+35,3.4003619579810696e+29,1.9255658000632164e+32
1.4444577154901427e+35,3.917031589924803e+29,2.16762645712782e+32
1.6256824097819892e+35,4.5032270010068695e+29,2.4400917039109676e+32
1.829643934282832e+35,5.179880632393994e+29,2.7468358694477786e+32
2.059194899394209e+35,5.956222950928415e+29,3.0921522537295033e+32
2.3175458100011123e+35,6.808710390310622e+29,3.480888174450518e+32
2.608309967664451e+35,7.701785557034952e+29,3.918542681156159e+32
