number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
4.561200076863916e+31,1.1659649643831951e+25,6.8023213929316535e+28
5.131156489762873e+31,1.3710850370404438e+25,7.652470311780363e+28
5.7723332629026365e+31,1.6100248812547321e+25,8.608888088484518e+28
6.493629918418647e+31,1.890062706122292e+25,9.684857660031116e+28
7.305058040979749e+31,2.2208816259693337e+25,1.0895330602534036e+29
8.217880238404202e+31,2.6033236288727826e+25,1.2257071816211456e+29
9.244766466454623e+31,3.0547227703566294e+25,1.3789034173438205e+29
1.039996988759721e+32,3.583400834237766e+25,1.5512491278722166e+29
1.1699524704641674e+32,4.198660399037082e+25,1.7451343907833925e+29
1.3161468715189235e+32,4.924333641753467e+25,1.963255954744265e+29
1.4806093675940529e+32,5.76644009725901e+25,2.2086445056935712e+29
1.6656226951915383e+32,6.753163713148332e+25,2.484714846814411e+29
1.8737548359870767e+32,7.913729914498294e+25,2.7953058011921535e+29
2.107894660369775e+32,9.255630760725313e+25,3.144698620259786e+29
2.3712920249114456e+32,1.083635607466438e+26,3.5377745427927026e+29
2.6676028803176586e+32,1.268110579228106e+26,3.980001944326404e+29
3.0009400159580995e+32,1.4829184676952912e+26,4.477501037953315e+29
3.375930145309412e+32,1.73584992728818e+26,5.0371951150751025e+29
3.797778124655444e+32,2.028457259835224e+26,5.6668580361343785e+29
4.272339196399309e+32,2.3713894607406877e+26,6.375249350314262e+29
4.806200259723152e+32,2.773250073683483e+26,7.172216543321783e+29
5.406771296630895e+32,3.237994823377424e+26,8.068805154817442e+29
6.0823882223658385e+32,3.784474626380791e+26,9.077501287597244e+29
6.842428587765034e+32,4.41998597146093e+26,1.0212304565779708e+30
7.697441739497073e+32,5.1603911870148726e+26,1.148900308875459e+30
8.659295244805025e+32,6.030914775445985e+26,1.2925363046213046e+30
9.741339613127373e+32,7.03499268494057e+26,1.4541286570863768e+30
1.0958593600930075e+33,8.212140447640051e+26,1.635926530215256e+30
1.2327952671777498e+33,9.586826048275859e+26,1.8404541749530114e+30
1.3868423505064307e+33,1.117710973627072e+27,2.0705610285375482e+30
1.5601387808385272e+33,1.304381021388355e+27,2.3294504993913477e+30
1.7550899095254022e+33,1.5206446068816954e+27,2.620717039298991e+30
1.9744016547440052e+33,1.7726407361367314e+27,2.9484007929572236e+30
2.2211180595927444e+33,2.0683727831592276e+27,3.3170642406229014e+30
2.4986635433552055e+33,2.4085029186029777e+27,3.731826985434737e+30
2.810890432378521e+33,2.8072541726167017e+27,4.198470240501989e+30
3.162132430294119e+33,3.271273801895303e+27,4.7234737883001245e+30
3.5572647697465606e+33,3.8081373868677676e+27,5.314140889743415e+30
4.001771880535394e+33,4.437137281462384e+27,5.978706644403361e+30
4.501823513402608e+33,5.162922920447433e+27,6.726384684035477e+30
5.064360376062509e+33,6.008309659092394e+27,7.567594594140406e+30
5.69719047010057e+33,6.996323452639353e+27,8.514052775374148e+30
6.409097465895686e+33,8.132492840574157e+27,9.578865578544794e+30
7.209962619807829e+33,9.461802769214651e+27,1.0776920155392652e+31
8.110901925839465e+33,1.1002621605913732e+28,1.2124856118676694e+31
9.124420405433368e+33,1.2784740546887251e+28,1.36414187525049e+31
1.0264585676946407e+34,1.4867957696826073e+28,1.5347785843181236e+31
1.1547223213940586e+34,1.7261158005905195e+28,1.7267620347139024e+31
1.2990136002472813e+34,2.004614145807503e+28,1.942768536330244e+31
1.4613351646222768e+34,2.3285500805462455e+28,2.1858042987509752e+31
1.643940034927349e+34,2.700632084782123e+28,2.4592342664045374e+31
1.8493627634940815e+34,3.134746199004346e+28,2.766893583383359e+31
2.080454614118339e+34,3.6355577995533147e+28,3.113063139843143e+31
2.3404231375507194e+34,4.214169967903167e+28,3.5025555390076296e+31
2.632876692243564e+34,4.888483697745586e+28,3.9408149204608887e+31
2.9618745283016955e+34,5.659175419486539e+28,4.433879101533488e+31
3.33198312980122e+34,6.55450928355884e+28,4.988685018363349e+31
3.748339597506769e+34,7.59007330462464e+28,5.612962201269984e+31
4.216722951738178e+34,8.776898644344235e+28,6.315342576214677e+31
4.74363434506908e+34,1.0156070313679172e+29,7.105685182140704e+31
5.336387298208289e+34,1.1737607200775712e+29,7.994954381429488e+31
6.003209211536318e+34,1.3560488649830015e+29,8.995550691187796e+31
6.753355561275427e+34,1.5675038534024353e+29,1.012147381344992e+32
7.597238365333926e+34,1.807793290472417e+29,1.1388270525243604e+32
8.546570701928387e+34,2.086036064927893e+29,1.2813767879759375e+32
9.614529286899655e+34,2.4056134966398984e+29,1.4417781084847741e+32
1.0815937366292877e+35,2.770567927501435e+29,1.6222557415731953e+32
1.2167470462747307e+35,3.192233004166149e+29,1.825346167145129e+32
1.3687887831452084e+35,3.6717729667135224e+29,2.0538624270666147e+32
1.5398292838272501e+35,4.222890147001309e+29,2.311000227956224e+32
1.732242587409051e+35,4.857773301660106e+29,2.6003544710140238e+32
1.9486993871005245e+35,5.579007152415275e+29,2.925913199201927e+32
2.192204099407261e+35,6.398334907659543e+29,3.2922768199008076e+32
2.466136565377845e+35,7.301446097267976e+29,3.704536255185042e+32
2.774298962737124e+35,8.025736306739576e+29,4.1683933933841005e+32
3.1209685800449733e+35,8.629576336061625e+29,4.6903621074401216e+32
3.510957185384956e+35,9.113431400124708e+29,5.2775095451646594e+32
3.949677813619202e+35,9.606762346325412e+29,5.9381436004835046e+32
4.443219899215408e+35,1.0122184998238579e+30,6.681440717101353e+32
4.9984337974882676e+35,1.0762414180011806e+30,7.517591639634208e+32
5.6230258674086235e+35,1.1427419782515207e+30,8.458396025679585e+32
6.325665435728065e+35,1.2226303209355343e+30,9.516803731512587e+32
7.116105127079068e+35,1.31505402198996e+30,1.0707551748710315e+33
8.005316230230346e+35,1.4161736669459426e+30,1.2047297463063052e+33
9.005640979378598e+35,1.5431392132090805e+30,1.3554484953039393e+33
1.0130963864138256e+36,1.6847597165418024e+30,1.525024467083812e+33
1.1396904346008829e+36,1.849142222159787e+30,1.715807387733677e+33
1.2821033656220957e+36,2.045390168055771e+30,1.930445212878111e+33
1.4423118684111417e+36,2.268097660630541e+30,2.1719450280594443e+33
1.622539634119331e+36,2.5327716388225373e+30,2.4436513904205945e+33
1.8252882209089897e+36,2.840046836689615e+30,2.749337701945672e+33
2.0533717755359755e+36,3.1947234963628794e+30,3.093268635792411e+33
2.309956093656289e+36,3.617789421704576e+30,3.480208364864223e+33
2.598602561013109e+36,4.108794608892293e+30,3.915574182662746e+33
2.9233175854071723e+36,4.688020557232118e+30,4.4054059117879293e+33
3.2886082055653425e+36,5.381597181934427e+30,4.9565156787933174e+33
3.6995446487574657e+36,6.206979992790884e+30,5.576610144060695e+33
4.161830705460136e+36,7.225493446137972e+30,6.27427132473964e+33
4.681882897866421e+36,8.472636999336837e+30,7.059265874230998e+33
5.2669195410990584e+36,1.0003662882193422e+31,7.942548395487611e+33
5.925060933295173e+36,1.191320896536046e+31,8.936367845335448e+33
6.665442065199073e+36,1.424059324424659e+31,1.0054664770076991e+34
7.498339413670292e+36,1.7078830410397062e+31,1.1313007492996195e+34
8.435313578998468e+36,2.045976876780027e+31,1.2728968262347894e+34
9.489369745828457e+36,2.4526930399832294e+31,1.432238522818806e+34
1.0675138194890427e+37,2.92647894696167e+31,1.61153655041348e+34
1.2009077371034557e+37,3.488130951199757e+31,1.8133073133022342e+34
1.3509702326150969e+37,4.152378808642413e+31,2.040372310358648e+34
1.5197841707758593e+37,4.921019315321479e+31,2.2958951408285582e+34
1.7096926860259935e+37,5.832129632397003e+31,2.5834672896049476e+34
1.9233317051582008e+37,6.891798872175351e+31,2.9070809896261053e+34
2.1636665339343407e+37,8.12851203755609e+31,3.271273435359947e+34
2.434033015476327e+37,9.589239167523734e+31,3.681171892013534e+34
2.7381838317089615e+37,1.1269767445652072e+32,4.1424229791882323e+34
3.080340590517883e+37,1.3251073380115931e+32,4.661569507440915e+34
3.4652524215914595e+37,1.5573919481374708e+32,5.245871867850155e+34
3.898261894255865e+37,1.8284849677053844e+32,5.903479705292847e+34
4.385379172241707e+37,2.1502636537773955e+32,6.643695334271397e+34
4.933365434649036e+37,2.5305427367850194e+32,7.476748878240784e+34
5.5498267209922435e+37,2.9846357138349553e+32,8.41444142677488e+34
6.243319502892391e+37,3.529424842413155e+32,9.47003721503573e+34
7.02346944775016e+37,4.1712048999496346e+32,1.0658093361716274e+35
7.90110502283711e+37,4.9899721411801706e+32,1.1995633672737496e+35
8.888407794227578e+37,6.0762819830429016e+32,1.3501410296152885e+35
9.999081506717791e+37,7.786895200345805e+32,1.5197103468616313e+35
1.124854229155834e+38,1.021635610703711e+33,1.7107130018213932e+35
1.2654132642080047e+38,1.4113726167252494e+33,1.9259954418201353e+35
1.4235362127190997e+38,1.993079595423145e+33,2.1687839653395527e+35
1.601417818384378e+38,2.829007154714843e+33,2.442676893427572e+35
1.8015270747067605e+38,4.1433661999731366e+33,2.7523538921566827e+35
2.02664149458246e+38,6.024004057080072e+33,3.102470957616616e+35
2.2798856621302674e+38,8.82478699105415e+33,3.4992298109936245e+35
2.5647746018632003e+38,1.3098149284718919e+34,3.9502901170332544e+35
2.8852625671658263e+38,1.916768029580863e+34,4.4630418809809016e+35
3.245797925260475e+38,2.867969501899334e+34,5.0507862218938555e+35
3.65138490046466e+38,4.219874581845939e+34,5.723569273171547e+35
4.1076530327350494e+38,6.3072103443309025e+34,6.503254684107992e+35
4.620935315581296e+38,9.520070706905152e+34,7.412926455460103e+35
5.198356097902615e+38,1.4375498467531354e+35,8.486091165664754e+35
5.8479299698229876e+38,2.0907839114051636e+35,9.764639572404072e+35
6.578673005058637e+38,2.8579946076850222e+35,1.1292030271850722e+36
7.400727903859844e+38,3.737781152424802e+35,1.3112566999800105e+36
8.325504773508881e+38,4.861474118590055e+35,1.5283494513552378e+36
9.365839500404889e+38,6.37641191626198e+35,1.7889289577754034e+36
1.0536171911937334e+39,8.303407492152375e+35,2.1034664057231894e+36
1.185274620103176e+39,1.0745310724890115e+36,2.4844557380329036e+36
1.3333836395256834e+39,1.3832286032189684e+36,2.947327822656786e+36
1.4999999999999942e+39,1.7726346194021768e+36,3.511378875553131e+36
