number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
4.4797062524427825e+31,1.137491383221615e+25,6.680767521522954e+28
5.037732522414414e+31,1.337523558812582e+25,7.5131169201291755e+28
5.66527078724255e+31,1.5690825164539648e+25,8.4491844311553e+28
6.370979989505605e+31,1.8418875636029415e+25,9.501896193492307e+28
7.164597695503423e+31,2.1621112563179754e+25,1.0685790146576084e+29
8.057074456828789e+31,2.5342662026142422e+25,1.2017178368646427e+29
9.060724909037832e+31,2.9735114080166647e+25,1.35144695957608e+29
1.0189397692319623e+32,3.484599322506528e+25,1.5198330118409828e+29
1.145866653877627e+32,4.082739439365343e+25,1.709199503111713e+29
1.2886045162987469e+32,4.787804861064665e+25,1.9221623601533644e+29
1.4491228920977572e+32,5.60131888196981e+25,2.161663557041473e+29
1.629636657206097e+32,6.559635987955595e+25,2.4310160961008295e+29
1.8326365893409046e+32,7.678873439051883e+25,2.7339440730320888e+29
2.0609237364291275e+32,8.980694424044005e+25,3.0746054072389532e+29
2.317648066223838e+32,1.0514036882072054e+26,3.457717629556617e+29
2.606351930410605e+32,1.2290836928614908e+26,3.8885854859080474e+29
2.9310189429334245e+32,1.4372569957264875e+26,4.37314434319576e+29
3.296128946976536e+32,1.6815321574122567e+26,4.918085289854394e+29
3.706719829051417e+32,1.9638730483524378e+26,5.5309374243759595e+29
4.16845703311642e+32,2.295917788406036e+26,6.2201788447967615e+29
4.687711733903675e+32,2.682034193186462e+26,6.995326205804506e+29
5.271648748109929e+32,3.13155477667994e+26,7.867075931601616e+29
5.928325396473711e+32,3.6600577911203065e+26,8.84748628008649e+29
6.666802680864486e+32,4.269926190251365e+26,9.950070640226946e+29
7.497270310435295e+32,4.98524253514081e+26,1.1190101327974041e+30
8.43118730198355e+32,5.821113312985922e+26,1.2584712997956182e+30
9.481440094561753e+32,6.78874272447465e+26,1.4153136745679003e+30
1.066252036004627e+33,7.925095390236732e+26,1.5917080972312563e+30
