number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
4.348991372469528e+31,1.0924008099277357e+25,6.485798328159178e+28
4.8879503672267995e+31,1.2829222557310987e+25,7.289699592211813e+28
5.493701124292127e+31,1.504344905569496e+25,8.193258642659178e+28
6.174520970058817e+31,1.7657222259958775e+25,9.208833885455195e+28
6.939713018080963e+31,2.06932849497954e+25,1.0350308279568489e+29
7.799733292162358e+31,2.4252566382946795e+25,1.163327552541279e+29
8.76633360347353e+31,2.844293972751209e+25,1.307528097502266e+29
9.852722134051855e+31,3.328883346350659e+25,1.4696036594414312e+29
1.107374392099e+32,3.900055897243536e+25,1.6517715680879062e+29
1.2446083707552323e+32,4.5658414737324405e+25,1.8565195103375002e+29
1.3988493933093477e+32,5.341502795768771e+25,2.0866515989932294e+29
1.5722050977164405e+32,6.255134319196491e+25,2.3453175817040486e+29
1.7670443159272484e+32,7.3099119983136135e+25,2.6360610996361622e+29
1.9860294429689953e+32,8.54878974101674e+25,2.9628448158651852e+29
2.232152817440788e+32,9.998052306597652e+25,3.330129249010656e+29
2.508777610547555e+32,1.1678748633554502e+26,3.742959797802462e+29
2.8196837824037825e+32,1.3656443175778813e+26,4.2069805895309475e+29
3.1691197335803838e+32,1.5949178530872453e+26,4.728514331100368e+29
3.561860357691127e+32,1.862744485777925e+26,5.314713891266317e+29
4.003272288282496e+32,2.1770859654909043e+26,5.9736030684972364e+29
4.49938723159801e+32,2.5394331747677378e+26,6.714185903755151e+29
5.056984387277986e+32,2.965147196263663e+26,7.546604238976718e+29
5.683683083238588e+32,3.460213892974117e+26,8.482229165478145e+29
6.388046890546335e+32,4.035709815948189e+26,9.533861643201668e+29
7.179700640973565e+32,4.7118579711453323e+26,1.0715911480287487e+30
8.069461946229953e+32,5.4917151954843435e+26,1.2044532996831055e+30
9.069489016024426e+32,6.405003461141056e+26,1.3537924880008827e+30
1.0193446794828433e+33,7.47100504290945e+26,1.5216515552311887e+30
1.1456693687528716e+33,8.703218640117601e+26,1.7103200906526206e+30
1.2876491425496226e+33,1.0148780141332356e+27,1.9223892693783877e+30
1.447224094080173e+33,1.1820350594024048e+27,2.1607631442634193e+30
1.62657474716989e+33,1.3767505945946557e+27,2.4287044948767804e+30
1.8281518521928524e+33,1.6047425367506896e+27,2.729885698030574e+30
2.0547098745331018e+33,1.8670937445451815e+27,3.0683979624036966e+30
2.309344633182295e+33,2.174562664827802e+27,3.4489032188493626e+30
2.5955356037891808e+33,2.531469865612251e+27,3.876606259686448e+30
2.9171934642140873e+33,2.9450347178338805e+27,4.357353284310781e+30
3.278713532278174e+33,3.4294528520749865e+27,4.897743040495158e+30
3.685035825911578e+33,3.986414850871195e+27,5.50515760110956e+30
4.1417125663968234e+33,4.6364147487005893e+27,6.187932907014391e+30
4.6549840471105814e+33,5.392837798461608e+27,6.955416946043553e+30
5.231863904477885e+33,6.264697951799419e+27,7.818094262601503e+30
5.880234956330096e+33,7.284496898341954e+27,8.78782197240092e+30
6.608956917257011e+33,8.461239998822936e+27,9.877833440246946e+30
7.427987462837592e+33,9.827372199584986e+27,1.1103090917252598e+31
8.348518297040487e+33,1.1422274069328538e+28,1.2480412025588645e+31
9.38312808209753e+33,1.3249586667907914e+28,1.4028569842647494e+31
1.0545954320571846e+34,1.5382764509749973e+28,1.576889633587066e+31
1.1852886538315938e+34,1.78490255450512e+28,1.7725199047778846e+31
1.3321783408082612e+34,2.0694728855803517e+28,1.9924194887545126e+31
1.4972716780690633e+34,2.4014353030967573e+28,2.239614235426356e+31
1.6828245958327066e+34,2.7818687497064926e+28,2.517466699902342e+31
1.8913725957814386e+34,3.2239854149706196e+28,2.8298161882240914e+31
2.1257653976128605e+34,3.736595285805874e+28,3.1809485888863184e+31
2.3892058792472604e+34,4.324545570862343e+28,3.5756511016419385e+31
2.685293842791798e+34,5.008895118134153e+28,4.0193623604413957e+31
3.018075204304857e+34,5.794378926548027e+28,4.51812020854052e+31
3.3920972795177445e+34,6.7010543077541325e+28,5.078806666970543e+31
3.812470920969609e+34,7.753856343033751e+28,5.709137356134348e+31
4.284940355633106e+34,8.953128294655555e+28,6.417654595839273e+31
4.815961677332238e+34,1.0345330217674517e+29,7.214177049637767e+31
5.412791066517859e+34,1.1946512008842753e+29,8.109600033735146e+31
6.083583942886585e+34,1.3782589229364443e+29,9.116168398973743e+31
6.83750640572141e+34,1.591070565121279e+29,1.024777842416077e+32
7.684860484738922e+34,1.8333022671910812e+29,1.1519830454988111e+32
8.637224912942621e+34,2.112655241099371e+29,1.2949900890314034e+32
9.707613345083535e+34,2.4340881715599926e+29,1.4557617910369047e+32
1.0910652183716031e+35,2.7997197235766484e+29,1.6364860122043076e+32
1.2262780442766294e+35,3.221767446219599e+29,1.8396683254338834e+32
1.378247437966402e+35,3.7021975386684215e+29,2.068081754529075e+32
