number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
9.999999999999999e+31,3.3652589265e+25,1.4901191811995715e+29
1.0847854162948601e+32,3.756260373230497e+25,1.616489689179945e+29
1.1767593994060132e+32,4.191649727323062e+25,1.7535767325623032e+29
1.2765314349635415e+32,4.677371922438129e+25,1.902293835457701e+29
1.3847626840904009e+32,5.218470489092278e+25,2.0636229882577626e+29
1.5021703647305936e+32,5.820785860869818e+25,2.2386341521189243e+29
1.629532504450079e+32,6.4922108406654235e+25,2.4284900488982975e+29
1.767693096205885e+32,7.240883891269286e+25,2.634448614321982e+29
1.9175676912492516e+32,8.073692638210892e+25,2.8578747019120006e+29
2.0801494662253938e+32,9.002296715248776e+25,3.100254298045631e+29
2.2565158046748452e+32,1.0035487141336447e+26,3.363190565863878e+29
2.447835436550133e+32,1.1185679104619392e+26,3.648429851765537e+29
2.6553761830593474e+32,1.246735684278578e+26,3.957864093555894e+29
2.8805133581594905e+32,1.3893843039852336e+26,4.293543881909439e+29
3.1247388823739496e+32,1.548063272243429e+26,4.657699120700893e+29
3.389671169328761e+32,1.724956039699037e+26,5.052742018196287e+29
3.677065850522985e+32,1.9213786868206204e+26,5.4812951175923586e+29
3.988827409403192e+32,2.140363065367976e+26,5.9462003102879604e+29
4.32702180183779e+32,2.383994494560158e+26,6.45054394106731e+29
4.693890146623543e+32,2.6548950268914085e+26,6.99767002568921e+29
5.091863576747363e+32,2.9566337009905497e+26,7.591207636392182e+29
5.523579349818525e+32,3.291813491373585e+26,8.235095493041533e+29
5.991898324430581e+32,3.664797998691513e+26,8.933605182807219e+29
6.499923918263904e+32,4.0797364107397095e+26,9.69137297064419e+29
7.051022673558828e+32,4.5410270058250154e+26,1.0513425241753755e+30
7.648846566241013e+32,5.054305305138804e+26,1.1405215911261591e+30
8.297357206535271e+32,5.6248790646516315e+26,1.2372664567098445e+30
9.00085209143852e+32,6.259285207148394e+26,1.3422190143007622e+30
9.7639930830196e+32,6.964774850343205e+26,1.4560754667294188e+30
1.059183730126355e+33,7.74839724518849e+26,1.5795915612284626e+30
1.1489870636178611e+33,8.619870755279103e+26,1.713587253842432e+30
1.2464044101241105e+33,9.587640779327672e+26,1.8589517240473642e+30
1.352081326908233e+33,1.0663818963321447e+27,2.0166490168283718e+30
1.4667181050746545e+33,1.1859103633614148e+27,2.187727955264495e+30
1.5910744102006176e+33,1.3186963315289405e+27,2.3733203310609172e+30
1.7259743164255762e+33,1.4663077519816983e+27,2.574661730829524e+30
1.8723117673579558e+33,1.630199272523323e+27,2.7930863730790843e+30
2.0310564999871652e+33,1.8121632327223986e+27,3.0300456468242763e+30
2.2032604708569592e+33,2.014345834640712e+27,3.287110906628377e+30
2.390064827084576e+33,2.2388458265204726e+27,3.5659898542234114e+30
2.592707468420645e+33,2.4878854315832513e+27,3.868533950487708e+30
2.812531250461483e+33,2.764707278190526e+27,4.196751475568889e+30
3.0509928833741634e+33,3.0716133488506376e+27,4.552822461661067e+30
3.3096725851036975e+33,3.4126228860749464e+27,4.9391103914358683e+30
3.5902845530314015e+33,3.7906462691965975e+27,5.358178560162569e+30
3.894688323477174e+33,4.21011789801946e+27,5.812815092440256e+30
4.224901094321919e+33,4.6755636882943217e+27,6.306032498395946e+30
4.5831110924086126e+33,5.191953696478622e+27,6.841110150426759e+30
4.971692074304069e+33,5.76464340202814e+27,7.421600874743372e+30
5.393219056513796e+33,6.399857868653775e+27,8.05135863254668e+30
5.850485379389692e+33,7.103937032316947e+27,8.734568715812135e+30
6.346521217808241e+33,7.88472538787241e+27,9.475768226923375e+30
6.884613661284276e+33,8.749446277931488e+27,1.0279880126327713e+31
7.468328496585546e+33,9.708090571866732e+27,1.1152246589255158e+31
8.101533837195319e+33,1.0770471302578822e+28,1.209866156157632e+31
8.78842575620882e+33,1.1948259532523452e+28,1.3125414074410194e+31
9.533556092525458e+33,1.3252298525209332e+28,1.4239326645525615e+31
1.0341862614600629e+34,1.4696794627000267e+28,1.5447794999013829e+31
1.1218701741643797e+34,1.629532731278801e+28,1.6758860097845301e+31
1.2169884039096937e+34,1.806780303452501e+28,1.8181220042563499e+31
1.3201712723611948e+34,2.0028237565663426e+28,1.9724331331054291e+31
1.432102543268854e+34,2.2196925087338854e+28,2.1398462917928124e+31
1.5535239535768318e+34,2.4597363773762806e+28,2.321472352574875e+31
1.6852401287048807e+34,2.725310745997435e+28,2.5185197962312745e+31
1.8281239145739278e+34,3.0191512335487293e+28,2.7322969678661813e+31
1.9831221617096679e+34,3.3439395001693407e+28,2.964225908362923e+31
2.151261999753785e+34,3.7031435858185445e+28,3.2158484046918336e+31
2.333657643962223e+34,4.100032941705361e+28,3.4888360522636286e+31
2.5315177787952434e+34,4.538863275918143e+28,3.7850052097970473e+31
2.7461535675282384e+34,5.02399756256607e+28,4.106322754555214e+31
2.978987340960735e+34,5.559386058714835e+28,4.454928405902682e+31
3.23156202280121e+34,6.151029195498471e+28,4.833138598678498e+31
3.505551354187071e+34,6.8039412187683835e+28,5.24346724917625e+31
3.8027709850948332e+34,7.525180537814993e+28,5.688646231507749e+31
4.1251905061401147e+34,8.320660574654768e+28,6.171632552735734e+31
4.474946500498809e+34,9.198873346597126e+28,6.695641176073232e+31
4.854356702440829e+34,1.0166972552178844e+29,7.26415551903789e+31
5.265935356301019e+34,1.123472746743748e+29,7.880958312787198e+31
5.712409877666825e+34,1.2411842093592196e+29,8.550152755367754e+31
6.196738927191678e+34,1.3708639764578733e+29,9.276190399467184e+31
6.722132016804191e+34,1.5137851606421303e+29,1.0063900487504441e+32
7.292070778237942e+34,1.6711120216754773e+29,1.0918524395898926e+32
7.910332034822432e+34,1.844608209393368e+29,1.1845750172515037e+32
8.58101282942542e+34,2.0352153090892157e+29,1.2851745286384633e+32
9.308557574399794e+34,2.245148710598019e+29,1.3943204552617931e+32
1.0097787503449954e+35,2.4761086189043997e+29,1.5127389949196007e+32
1.0953932620586994e+35,2.730012416472621e+29,1.641218292033576e+32
1.1882666357889313e+35,3.009170670358442e+29,1.7806133951595224e+32
1.2890143171735888e+35,3.315829081471146e+29,1.9318514361569357e+32
1.3983039326651868e+35,3.6526096872202545e+29,2.095941570574898e+32
1.516859713702945e+35,4.022639845439626e+29,2.273973465102161e+32
1.6454672959901515e+35,4.428368621781561e+29,2.4671328411932453e+32
1.7849789256802548e+35,4.874201491107608e+29,2.6767058583769647e+32
1.936319106971607e+35,5.362528702495682e+29,2.9040853520520858e+32
2.100490728535887e+35,5.897910483258318e+29,3.1507897774107433e+32
2.2785817093782964e+35,6.484550808510533e+29,3.418456102934982e+32
2.4717722081697896e+35,7.12733865243443e+29,3.708871367396207e+32
2.6813424438255314e+35,7.830738986721171e+29,4.023966053226328e+32
2.9086811791543565e+35,8.600738023707931e+29,4.365839014654236e+32
3.1552949237979836e+35,9.44251647504086e+29,4.736766933929915e+32
3.422817917445256e+35,1.0121057407462927e+30,5.139186340813477e+32
3.7130229594773574e+35,1.0274550202216717e+30,5.575758790514287e+32
4.02783315680902e+35,1.0647944412679479e+30,6.049415313574509e+32
4.369334667775313e+35,1.1020285463044906e+30,6.563269555113077e+32
4.739790526514208e+35,1.1410887495554442e+30,7.120721421150029e+32
5.1416556394551515e+35,1.1818663111751591e+30,7.725473582326902e+32
5.577593053291172e+35,1.225088013044727e+30,8.381535798579439e+32
6.050491602237783e+35,1.2717432798876942e+30,9.09326311206108e+32
6.563485051522071e+35,1.322649302882606e+30,9.865376723173482e+32
7.119972863960461e+35,1.3767261845556512e+30,1.0702998492725008e+33
7.723642727239459e+35,1.4364802300070144e+30,1.1611687742745734e+33
8.378494991181224e+35,1.5007352776724556e+30,1.2597474262330021e+33
9.088869176932928e+35,1.5710592356817305e+30,1.3666901742542023e+33
9.859472733748709e+35,1.648061378180267e+30,1.4827061072739462e+33
1.0695412233927418e+36,1.7320114119979007e+30,1.6085656589763522e+33
1.1602227212626092e+36,1.8242586692087305e+30,1.7451033979520186e+33
1.2585926876796154e+36,1.924737062881829e+30,1.8932266760639083e+33
1.3653029926501985e+36,2.0351960681251228e+30,2.0539171157673843e+33
1.4810607752506642e+36,2.1556571169284877e+30,2.228241415205256e+33
1.60663312963828e+36,2.2872450580681242e+30,2.4173573295428643e+33
1.7428521883677762e+36,2.4307415506919416e+30,2.6225178584300013e+33
1.890620636698946e+36,2.5874973456173836e+30,2.845086885444817e+33
2.0509176944371202e+36,2.7594673521214624e+30,3.0865415525502324e+33
2.2248056049464658e+36,2.946853225281771e+30,3.348481820277878e+33
2.4134366743369907e+36,3.1500057745737425e+30,3.632647582670375e+33
