number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
8.119844993184037e+37,6.287819689885157e+32,1.235678804744647e+35
9.437878277775413e+37,8.817814618158092e+32,1.4374807684521244e+35
1.0969857978923873e+38,1.210472424892514e+33,1.6724895042427107e+35
1.2750512407130173e+38,1.7124159953671783e+33,1.9463059818571245e+35
1.4820207057988632e+38,2.4926978705685646e+33,2.2655855146081735e+35
1.7225859653987927e+38,3.721626613952647e+33,2.6382813636039747e+35
2.0022003718155914e+38,5.67515963015506e+33,3.073994704778814e+35
2.3272024789604166e+38,8.799740779226537e+33,3.584471511456067e+35
2.7049597304631442e+38,1.8514889062889822e+34,4.1857512267685824e+35
3.14403547159151e+38,4.1318338810846026e+34,4.912291933973756e+35
3.65438307095727e+38,7.1450002227168105e+34,5.799453617534805e+35
4.247571552536914e+38,1.1118223450841105e+35,6.886890952607741e+35
4.9370478528390185e+38,1.634869909333824e+35,8.224705852946349e+35
5.738441648302416e+38,2.321558187449632e+35,9.876844791146356e+35
6.669919663030144e+38,3.2197603572796186e+35,1.1924798554593358e+36
7.752597488629488e+38,4.392110848449822e+35,1.4471699525470536e+36
