number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
4.4797062524427825e+31,1.1382853583838285e+25,6.6807470558517925e+28
5.037732522414414e+31,1.3372345588917292e+25,7.513113872264409e+28
5.66527078724255e+31,1.5702015588829712e+25,8.449198620291739e+28
6.370979989505605e+31,1.8437110976993542e+25,9.501918296503952e+28
7.164597695503423e+31,2.162834033897964e+25,1.0685790662570876e+29
8.057074456828789e+31,2.536926243179683e+25,1.2017170453800427e+29
9.060724909037832e+31,2.974266798419353e+25,1.3514469893312242e+29
1.0189397692319623e+32,3.486584215911827e+25,1.5198338642309195e+29
1.145866653877627e+32,4.085566533904225e+25,1.709200581048789e+29
1.2886045162987469e+32,4.787562076620869e+25,1.9221680425462354e+29
1.4491228920977572e+32,5.6055279198180505e+25,2.1616781938935302e+29
1.629636657206097e+32,6.563149598504022e+25,2.4310175547158632e+29
1.8326365893409046e+32,7.680987199119718e+25,2.7339285647026384e+29
2.0609237364291275e+32,8.988672178853253e+25,3.0745933974010092e+29
2.317648066223838e+32,1.0516005295242836e+26,3.4577276022367966e+29
2.606351930410605e+32,1.2302850648614279e+26,3.888584766995576e+29
2.9310189429334245e+32,1.4383175416381331e+26,4.3731314862756446e+29
3.296128946976536e+32,1.6815350315249198e+26,4.918091674862284e+29
3.706719829051417e+32,1.9651344815676335e+26,5.5309408112805106e+29
4.16845703311642e+32,2.296474966536558e+26,6.220169788526555e+29
4.687711733903675e+32,2.6831256343230816e+26,6.995328860168691e+29
5.271648748109929e+32,3.1347179500160646e+26,7.867082365885163e+29
5.928325396473711e+32,3.66019808154681e+26,8.847493353411773e+29
6.666802680864486e+32,4.273572452809549e+26,9.950071441648604e+29
7.497270310435295e+32,4.988174001610491e+26,1.1190103153703479e+30
8.43118730198355e+32,5.8219949860475074e+26,1.2584708310638632e+30
9.481440094561753e+32,6.794194515085047e+26,1.4153142226984875e+30
1.066252036004627e+33,7.927685028938589e+26,1.5917077857399198e+30
1.1990724963142444e+33,9.246058488985937e+26,1.7900821834584153e+30
1.3484380829928226e+33,1.0782237548410082e+27,2.0131996654209568e+30
1.5164097827733306e+33,1.2570474856893655e+27,2.2641312320680082e+30
1.7053053145658588e+33,1.465399946998291e+27,2.546340105388949e+30
1.9177311099695372e+33,1.7081089132042564e+27,2.863715103821814e+30
