number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
4.393791748745188e+31,1.10851296727292e+25,6.5525966179647275e+28
4.939276116726414e+31,1.3015209028629806e+25,7.366252540680222e+28
5.55248176344072e+31,1.527562960707727e+25,8.280950609109196e+28
6.241816210464235e+31,1.7925214940006092e+25,9.30923950692597e+28
7.0167307638434265e+31,2.1023213277725515e+25,1.046520956037485e+29
7.887850098778372e+31,2.4653776602994157e+25,1.1764718195337659e+29
8.867117932100597e+31,2.8887480349336285e+25,1.3225634586790164e+29
9.967960779827333e+31,3.3845032052649438e+25,1.4867971481186168e+29
1.1205472045034339e+32,3.964000142928898e+25,1.671425293940386e+29
1.2596618960033777e+32,4.642217195094301e+25,1.8789839762533255e+29
1.4160475220193742e+32,5.434075973349623e+25,2.112326737771748e+29
1.5918482498988227e+32,6.361221034542813e+25,2.3746314570424173e+29
1.7894744429850253e+32,7.440151534967717e+25,2.6695243122458972e+29
2.0116357085545677e+32,8.702394209444123e+25,3.0010378553990314e+29
2.261378048619441e+32,1.0175616168981575e+26,3.373748997503056e+29
2.5421256229600044e+32,1.1897514232656293e+26,3.792733475047054e+29
2.8577276969921294e+32,1.390573499597806e+26,4.263744199419688e+29
3.2125114181599302e+32,1.6254825453985784e+26,4.7932870514952695e+29
3.611341144459066e+32,1.8984127407541945e+26,5.38857944712546e+29
4.059685138530345e+32,2.2174419050622508e+26,6.057799982585035e+29
4.563690541751022e+32,2.5892812108522996e+26,6.81018032719362e+29
5.130267656276285e+32,3.02336714474343e+26,7.656011238573996e+29
5.76718469060264e+32,3.529195398462987e+26,8.606907870672897e+29
6.4831742676878115e+32,4.120160608708701e+26,9.675897723725103e+29
7.288053155935487e+32,4.805964595985719e+26,1.0877697633587579e+30
8.192856864648901e+32,5.606806155097326e+26,1.2228804184700255e+30
9.20999094936058e+32,6.539007990920385e+26,1.3747752246347284e+30
1.0353401101550778e+33,7.62592712548089e+26,1.545539390606818e+30
1.1638764354815669e+33,8.891403235229143e+26,1.7375124734112805e+30
1.3083704029069048e+33,1.0367409075951339e+27,1.9533468368629325e+30
1.470803135982804e+33,1.2079533135586822e+27,2.1959981083480653e+30
1.653401712550642e+33,1.4075651936047667e+27,2.4687956333001217e+30
1.858669699693487e+33,1.639626065145929e+27,2.7754726761846136e+30
2.0894214795685135e+33,1.9098529720864684e+27,3.120267268864878e+30
2.3488208367534158e+33,2.2241584258482188e+27,3.507905431573774e+30
2.640424336169035e+33,2.590054434298897e+27,3.943694759932518e+30
2.9682300863229316e+33,3.014306180185785e+27,4.433657322600097e+30
3.336732556455506e+33,3.507927481882226e+27,4.9844841395947174e+30
3.7509841991739663e+33,4.081069346838429e+27,5.603760217403331e+30
4.2166647234678905e+33,4.747434072767844e+27,6.300016080144779e+30
4.740158967892766e+33,5.52154045839596e+27,7.082786846561252e+30
5.328644441622822e+33,6.420848878025346e+27,7.962869898939431e+30
5.990189733628392e+33,7.462923533769091e+27,8.952288013093783e+30
6.733865139243391e+33,8.672487020470879e+27,1.0064705279106255e+31
7.569867020898347e+33,1.0074809353537233e+28,1.131539363192269e+31
8.509657608100375e+33,1.1702200976906598e+28,1.2721540933223833e+31
9.566122153425476e+33,1.3589724170259693e+28,1.4302468854660967e+31
1.0753745599252815e+34,1.577735372109028e+28,1.6079971605301367e+31
1.208881117747795e+34,1.8309835744896593e+28,1.8078320512301294e+31
1.3589623665159958e+34,2.124078079802664e+28,2.0325145953185557e+31
1.5276760357109354e+34,2.4632924784581848e+28,2.2851364560820484e+31
1.717335319644415e+34,2.856022281628415e+28,2.5691630391051014e+31
1.93054059313413e+34,3.3105734122640874e+28,2.8884983493897987e+31
2.1702150646446694e+34,3.836017275602249e+28,3.247552010258655e+31
2.439644855726397e+34,4.443305271491377e+28,3.6512362986741556e+31
2.7425240562721714e+34,5.143774997596345e+28,4.1051372561378835e+31
3.083005373334177e+34,5.9526357672694035e+28,4.615465615737397e+31
3.465757067935132e+34,6.8863834739261485e+28,5.189260564285305e+31
3.89602696052141e+34,7.9641667291925e+28,5.834426691722191e+31
4.379714382622099e+34,9.206069722352243e+28,6.55982550829932e+31
4.923451061226675e+34,1.0638097032958309e+29,7.375473847073286e+31
5.534692044868361e+34,1.2283067482380355e+29,8.292510493755983e+31
6.221817918079796e+34,1.4177103676121604e+29,9.32365726013288e+31
6.994249705659915e+34,1.6355359648235265e+29,1.048307646384606e+32
7.8625780421779975e+34,1.8860457168129533e+29,1.178672484357227e+32
8.83870837772824e+34,2.1736098385971714e+29,1.3252535981549576e+32
9.936024210817595e+34,2.5040349278115736e+29,1.4900751739134358e+32
1.1169570586435389e+35,2.881766057365765e+29,1.6753981523874416e+32
1.2556260375204609e+35,3.3149065307356966e+29,1.883784099851288e+32
1.4115106161860806e+35,3.8104760972192614e+29,2.1180862249836186e+32
1.5867480922428248e+35,4.378088752440941e+29,2.381549683724007e+32
1.7837411064178095e+35,5.029826268085117e+29,2.677801776936005e+32
2.00519058461721e+35,5.77876404459342e+29,3.0109403399360982e+32
2.254132769700105e+35,6.610946620237637e+29,3.385490348263501e+32
2.5339808507059448e+35,7.514617955772092e+29,3.8066670415534884e+32
2.8485717603043833e+35,8.259328750115407e+29,4.280229649163264e+32
3.202218782096567e+35,8.728441098982675e+29,4.812688199540678e+32
3.5997706890544714e+35,9.188981060502742e+29,5.411298929568477e+32
4.046678223931838e+35,9.673820123064334e+29,6.084277693844923e+32
4.549068833144314e+35,1.0229697759114207e+30,6.840865587844911e+32
5.11383067877787e+35,1.0849095921082955e+30,7.691455044218387e+32
