number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
4.348991372469528e+31,1.0931112649261605e+25,6.485772544367965e+28
4.8879503672267995e+31,1.283054648768824e+25,7.289693514497202e+28
5.493701124292127e+31,1.505524834439442e+25,8.193267754824095e+28
6.174520970058817e+31,1.7660778230886037e+25,9.208853138805098e+28
6.939713018080963e+31,2.07083395152961e+25,1.0350317564173544e+29
7.799733292162358e+31,2.428036296376921e+25,1.1633265337383474e+29
8.76633360347353e+31,2.844609888790416e+25,1.3075279132053233e+29
9.852722134051855e+31,3.3318413856863734e+25,1.4696045445922421e+29
1.107374392099e+32,3.901312671018364e+25,1.6517722974788488e+29
1.2446083707552323e+32,4.567307904285022e+25,1.856523450312173e+29
1.3988493933093477e+32,5.345146830295321e+25,2.0866646844239323e+29
1.5722050977164405e+32,6.255610497753275e+25,2.3453220695591462e+29
1.7670443159272484e+32,7.316137792222976e+25,2.6360555575347473e+29
1.9860294429689953e+32,8.555045485791586e+25,2.9628245427192828e+29
2.232152817440788e+32,1.0000497078590462e+26,3.330133186473307e+29
2.508777610547555e+32,1.1689088880422836e+26,3.7429654832672686e+29
2.8196837824037825e+32,1.3658793061407147e+26,4.206965284503598e+29
3.1691197335803838e+32,1.5961339525441335e+26,4.728519206431413e+29
3.561860357691127e+32,1.8641348791823847e+26,5.314725768492459e+29
4.003272288282496e+32,2.1768558847509737e+26,5.973590685062615e+29
4.49938723159801e+32,2.541113209144887e+26,6.714184933260485e+29
5.056984387277986e+32,2.966241406155816e+26,7.546606732612056e+29
5.683683083238588e+32,3.461608637929993e+26,8.48223785300459e+29
6.388046890546335e+32,4.0398740466736826e+26,9.533865816145475e+29
7.179700640973565e+32,4.712569867050095e+26,1.0715907473165341e+30
8.069461946229953e+32,5.496549742259063e+26,1.2044539546158734e+30
9.069489016024426e+32,6.408328231865054e+26,1.3537927057784513e+30
1.0193446794828433e+33,7.471468154792858e+26,1.5216500092508344e+30
1.1456693687528716e+33,8.708857030037241e+26,1.710318963900652e+30
1.2876491425496226e+33,1.0151242444294868e+27,1.9223930631419554e+30
1.447224094080173e+33,1.1828005124984671e+27,2.1607734449602386e+30
1.62657474716989e+33,1.377998331099101e+27,2.42871694375069e+30
1.8281518521928524e+33,1.6046354258500795e+27,2.7298777647088644e+30
2.0547098745331018e+33,1.8686231782629975e+27,3.0683953451699596e+30
2.309344633182295e+33,2.1754865979640507e+27,3.4489121818052315e+30
2.5955356037891808e+33,2.5326094550589153e+27,3.876606952737995e+30
2.9171934642140873e+33,2.9474031550119503e+27,4.3573726936219337e+30
3.278713532278174e+33,3.429656500054411e+27,4.8977591213168317e+30
3.685035825911578e+33,3.988610103019929e+27,5.505163253763138e+30
4.1417125663968234e+33,4.6388246199704944e+27,6.187949623884173e+30
4.6549840471105814e+33,5.393484248416199e+27,6.955418980989412e+30
5.231863904477885e+33,6.27022911172169e+27,7.818123193556881e+30
5.880234956330096e+33,7.287405521497327e+27,8.787828043061406e+30
6.608956917257011e+33,8.468072982658595e+27,9.877857141247758e+30
7.427987462837592e+33,9.833956826922148e+27,1.1103125151901375e+31
8.348518297040487e+33,1.142003896950355e+28,1.2480428325437458e+31
9.38312808209753e+33,1.3257663470543243e+28,1.402861160817437e+31
1.0545954320571846e+34,1.5388162115088432e+28,1.5768945754444965e+31
