number density (cm^-3),pressure (erg/cm^3),energy density(erg/cm^3)
4.393791748745188e+31,1.1077742957409072e+25,6.5526206191084965e+28
4.939276116726414e+31,1.3017000247546077e+25,7.3662576650480045e+28
5.55248176344072e+31,1.5264032251978454e+25,8.280939790236341e+28
6.241816210464235e+31,1.7916731841660658e+25,9.309219292986006e+28
7.0167307638434265e+31,2.1009225907285835e+25,1.0465202445953272e+29
7.887850098778372e+31,2.4623743642633783e+25,1.17647280496746e+29
8.867117932100597e+31,2.88897356232418e+25,1.3225637247695263e+29
9.967960779827333e+31,3.3818702675101715e+25,1.486796273712646e+29
1.1205472045034339e+32,3.962217518479776e+25,1.671424447713989e+29
1.2596618960033777e+32,4.641322048311129e+25,1.8789794524206917e+29
1.4160475220193742e+32,5.429853879135777e+25,2.1123123888767745e+29
1.5918482498988227e+32,6.358679350997827e+25,2.374628595927896e+29
1.7894744429850253e+32,7.435296925139974e+25,2.6695331838179604e+29
2.0116357085545677e+32,8.695561862969296e+25,3.0010553771478418e+29
2.261378048619441e+32,1.017585102917876e+26,3.3737429769826425e+29
2.5421256229600044e+32,1.1886612749173857e+26,3.792729922608838e+29
2.8577276969921294e+32,1.3899636595419232e+26,4.263759336788325e+29
3.2125114181599302e+32,1.624312247284166e+26,4.7932791675816946e+29
3.611341144459066e+32,1.8970647668290422e+26,5.3885703911360766e+29
4.059685138530345e+32,2.2178450753096934e+26,6.057812163241525e+29
4.563690541751022e+32,2.5877961989952552e+26,6.810180093094509e+29
5.130267656276285e+32,3.02158513849768e+26,7.656007434769165e+29
5.76718469060264e+32,3.5283012664563143e+26,8.606898801931745e+29
6.4831742676878115e+32,4.11509160224205e+26,9.675894212926125e+29
7.288053155935487e+32,4.8045162316583724e+26,1.0877699707805818e+30
8.192856864648901e+32,5.603279840125697e+26,1.2228801357330113e+30
9.20999094936058e+32,6.534977063712523e+26,1.3747748973145866e+30
1.0353401101550778e+33,7.627591432261711e+26,1.5455417199327878e+30
1.1638764354815669e+33,8.885279253212297e+26,1.737513969638417e+30
1.3083704029069048e+33,1.0360682159632045e+27,1.95334108351101e+30
1.470803135982804e+33,1.2075083602823415e+27,2.195988203823889e+30
1.653401712550642e+33,1.4063630985608695e+27,2.4687847869761292e+30
1.858669699693487e+33,1.6395979715162952e+27,2.7754830757026193e+30
2.0894214795685135e+33,1.9084599536902579e+27,3.1202660514459545e+30
2.3488208367534158e+33,2.2226470363999898e+27,3.507895316434403e+30
2.640424336169035e+33,2.5891993794523204e+27,3.9436967952662075e+30
2.9682300863229316e+33,3.0120025116002344e+27,4.433636532080106e+30
3.336732556455506e+33,3.5072008559791685e+27,4.9844700837026516e+30
3.7509841991739663e+33,4.0795577571434593e+27,5.603753735338419e+30
4.2166647234678905e+33,4.744373514102495e+27,6.299998628434227e+30
4.740158967892766e+33,5.52224201023366e+27,7.082790649822436e+30
5.328644441622822e+33,6.414517500693518e+27,7.962834370919397e+30
5.990189733628392e+33,7.45818161407315e+27,8.952277131493884e+30
6.733865139243391e+33,8.669008368926078e+27,1.0064690552931377e+31
7.569867020898347e+33,1.006777142696682e+28,1.1315355311129682e+31
8.509657608100375e+33,1.1702776259113958e+28,1.2721520158456553e+31
9.566122153425476e+33,1.3581798719818809e+28,1.4302429339827412e+31
1.0753745599252815e+34,1.576662418955395e+28,1.607990104857479e+31
1.208881117747795e+34,1.8307386392205342e+28,1.8078396139614053e+31
1.3589623665159958e+34,2.122350308714656e+28,2.0325197114917615e+31
1.5276760357109354e+34,2.4625211155271484e+28,2.285138048572983e+31
1.717335319644415e+34,2.8546395993493434e+28,2.5691514548491134e+31
1.93054059313413e+34,3.3079094075319133e+28,2.8884850865593084e+31
2.1702150646446694e+34,3.836265541617315e+28,3.247546232599044e+31
2.439644855726397e+34,4.439636295493229e+28,3.651232207606519e+31
2.7425240562721714e+34,5.141392300572836e+28,4.105126260730486e+31
3.083005373334177e+34,5.95187331512683e+28,4.615451331415569e+31
3.465757067935132e+34,6.881987748106476e+28,5.189241305904311e+31
3.89602696052141e+34,7.963036655480355e+28,5.834426045820104e+31
4.379714382622099e+34,9.19977246032914e+28,6.559803650693759e+31
4.923451061226675e+34,1.0628508407659666e+29,7.375420728233716e+31
5.534692044868361e+34,1.228220413613034e+29,8.292525714896928e+31
6.221817918079796e+34,1.4167078757685832e+29,9.323626106554767e+31
6.994249705659915e+34,1.635129549441e+29,1.0483047778920476e+32
7.8625780421779975e+34,1.8853665298958036e+29,1.1786678874451075e+32
8.83870837772824e+34,2.1721553861973373e+29,1.3252479492888151e+32
9.936024210817595e+34,2.503801976016654e+29,1.4900747560550258e+32
1.1169570586435389e+35,2.879844182686152e+29,1.675388924885629e+32
1.2556260375204609e+35,3.31315250630045e+29,1.8837716646116518e+32
1.4115106161860806e+35,3.809742075009878e+29,2.1180896585996393e+32
1.5867480922428248e+35,4.375506946083167e+29,2.381545668436475e+32
1.7837411064178095e+35,5.028019885056962e+29,2.6778021984989953e+32
2.00519058461721e+35,5.771043778565253e+29,3.0108989977108304e+32
2.254132769700105e+35,6.600490508580257e+29,3.385460648206576e+32
2.5339808507059448e+35,7.528673402908795e+29,3.806669369268188e+32
